IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,77 ms,22716 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,201 ms,8298 kB/s
204.110.221.115,80,true,SEA,North America,Seattle,195 ms,6785 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,219 ms,6632 kB/s
13.53.132.96,8080,true,ARN,Europe,Stockholm,193 ms,6406 kB/s
15.156.203.151,8443,true,YUL,North America,Montréal,251 ms,5815 kB/s
13.49.166.245,443,true,ARN,Europe,Stockholm,184 ms,5746 kB/s
13.40.128.14,8443,true,LHR,Europe,London,195 ms,5067 kB/s
204.110.221.192,80,true,SEA,North America,Seattle,218 ms,4813 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,95 ms,4797 kB/s
13.53.51.77,8080,true,ARN,Europe,Stockholm,200 ms,4149 kB/s
13.53.54.176,8080,true,ARN,Europe,Stockholm,176 ms,4140 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,179 ms,3578 kB/s
204.110.221.40,80,true,SEA,North America,Seattle,203 ms,2948 kB/s
13.41.76.64,8080,true,LHR,Europe,London,182 ms,2130 kB/s
204.110.223.6,80,true,IAD,North America,Ashburn,233 ms,633 kB/s
204.110.221.20,80,true,SEA,North America,Seattle,216 ms,544 kB/s
18.135.188.86,443,true,LHR,Europe,London,193 ms,492 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,221 ms,102 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,253 ms,83 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,248 ms,77 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,261 ms,67 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,267 ms,67 kB/s
204.110.221.77,80,true,SEA,North America,Seattle,210 ms,0 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,195 ms,0 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,205 ms,0 kB/s
204.110.221.223,80,true,SEA,North America,Seattle,235 ms,0 kB/s
204.110.221.69,80,true,SEA,North America,Seattle,208 ms,0 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,298 ms,0 kB/s
