IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,91 ms,13355 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,190 ms,7700 kB/s
13.49.166.245,443,true,ARN,Europe,Stockholm,188 ms,6002 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,191 ms,5842 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,194 ms,4886 kB/s
204.110.221.28,80,true,YUL,North America,Montréal,253 ms,4034 kB/s
204.110.221.251,80,true,YUL,North America,Montréal,259 ms,3649 kB/s
204.110.221.78,80,true,YUL,North America,Montréal,256 ms,3429 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,264 ms,2526 kB/s
204.110.221.35,80,true,YUL,North America,Montréal,248 ms,2041 kB/s
44.226.147.29,443,true,PDX,North America,Portland,225 ms,486 kB/s
44.227.22.10,443,true,PDX,North America,Portland,201 ms,96 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,203 ms,89 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,269 ms,83 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,250 ms,80 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,301 ms,42 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,185 ms,0 kB/s
204.110.220.34,80,true,SJC,North America,San Jose,171 ms,0 kB/s
18.135.188.86,443,true,LHR,Europe,London,186 ms,0 kB/s
18.135.67.188,443,true,LHR,Europe,London,181 ms,0 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,103 ms,0 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,228 ms,0 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,295 ms,0 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,347 ms,0 kB/s
