IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
130.61.23.77,443,true,FRA,Europe,Frankfurt,250 ms,3465 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,298 ms,3222 kB/s
89.168.119.50,443,true,FRA,Europe,Frankfurt,299 ms,2894 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,258 ms,2195 kB/s
143.47.189.208,443,true,FRA,Europe,Frankfurt,247 ms,2060 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,296 ms,2031 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,290 ms,1972 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,248 ms,1703 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,274 ms,1558 kB/s
132.226.31.178,443,true,LAX,North America,Los Angeles,240 ms,1446 kB/s
129.146.168.102,443,true,LAX,North America,Los Angeles,256 ms,1321 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,236 ms,960 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,257 ms,521 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,285 ms,384 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,297 ms,342 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,296 ms,272 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,251 ms,246 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,286 ms,243 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,256 ms,192 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,295 ms,99 kB/s
140.238.33.161,443,true,NRT,Asia Pacific,Tokyo,132 ms,86 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,264 ms,70 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,258 ms,67 kB/s
150.230.221.148,443,true,NRT,Asia Pacific,Tokyo,135 ms,67 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,262 ms,51 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,331 ms,37 kB/s
64.181.240.173,443,true,SJC,North America,San Jose,191 ms,0 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,188 ms,0 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,273 ms,0 kB/s
132.145.54.84,8443,true,LHR,Europe,London,242 ms,0 kB/s
143.47.243.144,8443,true,LHR,Europe,London,236 ms,0 kB/s
143.47.243.144,2053,true,LHR,Europe,London,238 ms,0 kB/s
132.145.54.84,2053,true,LHR,Europe,London,245 ms,0 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,224 ms,0 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,376 ms,0 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,365 ms,0 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,256 ms,0 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,182 ms,0 kB/s
129.151.148.35,443,true,DXB,Middle East,Dubai,188 ms,0 kB/s
168.138.215.251,443,true,NRT,Asia Pacific,Tokyo,135 ms,0 kB/s
152.67.249.123,443,true,SJC,North America,San Jose,191 ms,0 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,301 ms,0 kB/s
