IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
13.36.169.254,443,443,true,CDG,Europe,FR,Paris,326,11.65
13.38.70.26,443,443,true,CDG,Europe,FR,Paris,277,11.64
67.226.223.221,80,443,true,LHR,Europe,GB,London,429,11.64
13.36.178.142,443,443,true,CDG,Europe,FR,Paris,330,11.63
13.38.75.109,443,443,true,CDG,Europe,FR,Paris,303,11.62
13.38.52.211,443,443,true,CDG,Europe,FR,Paris,329,11.61
63.177.71.119,443,443,true,FRA,Europe,DE,Frankfurt,283,11.60
51.44.180.94,443,443,true,CDG,Europe,FR,Paris,304,11.59
67.226.223.233,80,443,true,LHR,Europe,GB,London,590,11.58
13.36.170.240,443,443,true,CDG,Europe,FR,Paris,255,11.58
13.36.173.160,443,443,true,CDG,Europe,FR,Paris,298,11.57
13.39.158.225,443,443,true,CDG,Europe,FR,Paris,296,11.57
13.38.24.61,443,443,true,CDG,Europe,FR,Paris,294,11.56
51.44.170.66,443,443,true,CDG,Europe,FR,Paris,268,11.55
13.36.243.197,443,443,true,CDG,Europe,FR,Paris,323,11.54
13.38.123.105,443,443,true,AMS,Europe,NL,Amsterdam,282,11.54
51.44.83.164,443,443,true,CDG,Europe,FR,Paris,221,11.53
51.44.169.93,443,443,true,CDG,Europe,FR,Paris,301,11.52
13.36.165.127,443,443,true,CDG,Europe,FR,Paris,281,11.51
13.36.173.73,443,443,true,CDG,Europe,FR,Paris,341,11.48
51.44.167.240,443,443,true,CDG,Europe,FR,Paris,211,11.46
67.226.223.109,443,443,true,LHR,Europe,GB,London,471,11.45
67.226.223.199,80,443,true,LHR,Europe,GB,London,449,11.45
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,209,11.45
67.226.223.116,80,443,true,LHR,Europe,GB,London,179,11.45
51.44.161.253,443,443,true,CDG,Europe,FR,Paris,354,11.44
67.226.223.82,443,443,true,LHR,Europe,GB,London,404,11.41
3.71.148.131,8443,443,true,FRA,Europe,DE,Frankfurt,324,11.38
13.40.168.45,8443,443,true,LHR,Europe,GB,London,266,11.38
51.44.86.227,443,443,true,CDG,Europe,FR,Paris,192,11.37
51.44.167.42,443,443,true,AMS,Europe,NL,Amsterdam,228,11.35
13.38.45.3,443,443,true,CDG,Europe,FR,Paris,216,11.34
51.44.83.105,443,443,true,CDG,Europe,FR,Paris,354,11.34
51.44.83.124,443,443,true,CDG,Europe,FR,Paris,306,11.32
13.50.9.244,443,443,true,ARN,Europe,SE,Stockholm,281,11.31
13.38.83.15,443,443,true,CDG,Europe,FR,Paris,362,11.31
67.226.223.179,80,443,true,LHR,Europe,GB,London,179,11.28
67.226.223.232,80,443,true,LHR,Europe,GB,London,439,11.25
67.226.223.98,80,443,true,LHR,Europe,GB,London,428,11.25
13.36.176.124,443,443,true,CDG,Europe,FR,Paris,215,11.25
13.38.74.38,443,443,true,CDG,Europe,FR,Paris,350,11.25
51.44.14.152,443,443,true,CDG,Europe,FR,Paris,235,11.25
13.38.105.183,2053,443,true,CDG,Europe,FR,Paris,313,11.25
67.226.223.83,80,443,true,LHR,Europe,GB,London,444,11.24
13.37.223.16,443,443,true,CDG,Europe,FR,Paris,309,11.24
13.38.45.34,443,443,true,CDG,Europe,FR,Paris,312,11.23
51.44.170.139,443,443,true,CDG,Europe,FR,Paris,269,11.21
67.226.223.56,80,443,true,LHR,Europe,GB,London,608,11.19
67.226.223.112,80,443,true,LHR,Europe,GB,London,534,11.18
67.226.223.43,80,443,true,LHR,Europe,GB,London,461,11.17
67.226.223.110,80,443,true,LHR,Europe,GB,London,603,11.17
67.226.223.10,80,443,true,LHR,Europe,GB,London,159,11.16
13.38.77.26,443,443,true,CDG,Europe,FR,Paris,215,11.15
67.226.223.212,80,443,true,LHR,Europe,GB,London,517,11.15
13.38.59.147,443,443,true,CDG,Europe,FR,Paris,306,11.14
67.226.223.164,80,443,true,LHR,Europe,GB,London,606,11.14
13.38.35.6,443,443,true,CDG,Europe,FR,Paris,338,11.14
67.226.223.95,80,443,true,LHR,Europe,GB,London,529,11.13
51.44.14.168,443,443,true,CDG,Europe,FR,Paris,233,11.12
67.226.223.174,80,443,true,LHR,Europe,GB,London,419,11.11
67.226.223.59,80,443,true,LHR,Europe,GB,London,400,11.10
13.38.80.163,443,443,true,CDG,Europe,FR,Paris,314,11.09
51.44.21.241,443,443,true,CDG,Europe,FR,Paris,226,11.08
51.44.163.80,443,443,true,CDG,Europe,FR,Paris,210,11.08
67.226.223.207,80,443,true,LHR,Europe,GB,London,664,11.07
13.38.91.94,443,443,true,CDG,Europe,FR,Paris,296,11.07
67.226.223.103,80,443,true,LHR,Europe,GB,London,499,11.06
67.226.223.255,443,443,true,LHR,Europe,GB,London,446,11.05
67.226.223.200,80,443,true,LHR,Europe,GB,London,394,11.04
3.79.59.119,8443,443,true,FRA,Europe,DE,Frankfurt,279,11.04
67.226.223.27,80,443,true,LHR,Europe,GB,London,428,11.03
51.44.85.236,443,443,true,CDG,Europe,FR,Paris,286,11.02
13.37.227.210,443,443,true,CDG,Europe,FR,Paris,272,11.02
67.226.223.31,80,443,true,LHR,Europe,GB,London,161,11.02
67.226.223.9,80,443,true,LHR,Europe,GB,London,432,11.00
67.226.223.127,80,443,true,LHR,Europe,GB,London,424,10.99
67.226.223.99,80,443,true,LHR,Europe,GB,London,164,10.98
67.226.223.102,80,443,true,LHR,Europe,GB,London,381,10.96
67.226.223.253,443,443,true,LHR,Europe,GB,London,159,10.96
51.44.169.193,443,443,true,CDG,Europe,FR,Paris,293,10.96
67.226.223.243,80,443,true,LHR,Europe,GB,London,420,10.95
67.226.223.1,80,443,true,LHR,Europe,GB,London,415,10.94
67.226.223.55,80,443,true,LHR,Europe,GB,London,418,10.94
3.74.9.115,8443,443,true,FRA,Europe,DE,Frankfurt,304,10.93
67.226.223.54,80,443,true,LHR,Europe,GB,London,175,10.92
13.38.103.182,443,443,true,CDG,Europe,FR,Paris,282,10.92
3.75.241.203,443,443,true,FRA,Europe,DE,Frankfurt,282,10.92
67.226.223.58,80,443,true,LHR,Europe,GB,London,383,10.91
51.44.6.220,443,443,true,CDG,Europe,FR,Paris,271,10.90
51.44.168.175,443,443,true,CDG,Europe,FR,Paris,282,10.89
13.38.30.254,443,443,true,CDG,Europe,FR,Paris,314,10.89
3.78.187.212,443,443,true,FRA,Europe,DE,Frankfurt,315,10.88
13.43.173.97,8080,443,true,LHR,Europe,GB,London,283,10.88
51.44.82.108,443,443,true,CDG,Europe,FR,Paris,241,10.87
67.226.223.239,80,443,true,LHR,Europe,GB,London,411,10.87
13.37.225.239,443,443,true,CDG,Europe,FR,Paris,188,10.86
13.38.103.250,443,443,true,CDG,Europe,FR,Paris,286,10.86
67.226.223.175,80,443,true,LHR,Europe,GB,London,455,10.86
13.36.173.132,443,443,true,CDG,Europe,FR,Paris,313,10.85
67.226.223.159,80,443,true,LHR,Europe,GB,London,376,10.84
67.226.223.162,80,443,true,LHR,Europe,GB,London,395,10.84
51.44.146.187,443,443,true,CDG,Europe,FR,Paris,266,10.83
67.226.223.144,80,443,true,LHR,Europe,GB,London,410,10.83
13.40.129.145,8443,443,true,LHR,Europe,GB,London,302,10.82
13.37.225.137,443,443,true,CDG,Europe,FR,Paris,366,10.81
67.226.223.215,80,443,true,LHR,Europe,GB,London,457,10.80
67.226.223.57,80,443,true,LHR,Europe,GB,London,169,10.80
13.38.24.134,443,443,true,CDG,Europe,FR,Paris,351,10.80
51.44.169.46,443,443,true,CDG,Europe,FR,Paris,276,10.79
67.226.223.137,80,443,true,LHR,Europe,GB,London,165,10.79
13.38.105.184,443,443,true,CDG,Europe,FR,Paris,290,10.79
67.226.223.228,80,443,true,LHR,Europe,GB,London,389,10.77
67.226.223.220,80,443,true,LHR,Europe,GB,London,159,10.76
51.20.99.157,443,443,true,AMS,Europe,NL,Amsterdam,273,10.76
51.44.8.212,443,443,true,CDG,Europe,FR,Paris,272,10.75
13.38.66.99,443,443,true,CDG,Europe,FR,Paris,281,10.75
67.226.223.66,80,443,true,LHR,Europe,GB,London,169,10.74
13.50.150.189,443,443,true,ARN,Europe,SE,Stockholm,329,10.74
13.38.82.124,443,443,true,CDG,Europe,FR,Paris,282,10.74
67.226.223.90,80,443,true,LHR,Europe,GB,London,180,10.74
67.226.223.205,80,443,true,LHR,Europe,GB,London,663,10.69
67.226.223.181,80,443,true,LHR,Europe,GB,London,403,10.67
13.36.177.77,443,443,true,CDG,Europe,FR,Paris,300,10.67
13.38.27.135,443,443,true,CDG,Europe,FR,Paris,222,10.66
67.226.223.192,80,443,true,LHR,Europe,GB,London,413,10.65
13.36.174.13,443,443,true,CDG,Europe,FR,Paris,302,10.65
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,286,10.64
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,282,10.64
67.226.223.60,80,443,true,LHR,Europe,GB,London,599,10.64
67.226.223.250,80,443,true,LHR,Europe,GB,London,165,10.63
67.226.223.67,80,443,true,LHR,Europe,GB,London,389,10.62
13.38.44.88,443,443,true,CDG,Europe,FR,Paris,353,10.62
51.44.10.167,443,443,true,CDG,Europe,FR,Paris,218,10.60
