IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.147.72.146,443,443,true,CDG,Europe,FR,Paris,200,8.63
143.47.253.69,443,443,true,DUS,Europe,DE,Düsseldorf,335,8.63
89.168.87.6,443,443,true,CDG,Europe,FR,Paris,240,8.55
152.70.177.226,443,443,true,FRA,Europe,DE,Frankfurt,225,8.54
150.230.125.172,443,443,true,FRA,Europe,DE,Frankfurt,330,8.53
141.147.68.196,443,443,true,FRA,Europe,DE,Frankfurt,279,8.52
141.148.246.15,443,443,true,SEA,North America,US,Seattle,304,8.49
84.235.165.148,443,443,true,FRA,Europe,DE,Frankfurt,362,8.47
143.47.228.247,443,443,true,FRA,Europe,DE,Frankfurt,227,8.45
132.226.210.116,443,443,true,FRA,Europe,DE,Frankfurt,357,8.44
141.147.97.26,443,443,true,FRA,Europe,DE,Frankfurt,291,8.42
129.154.254.254,8443,443,true,BOM,Asia Pacific,IN,Mumbai,192,8.41
79.76.125.224,443,443,true,FRA,Europe,DE,Frankfurt,199,8.40
158.101.182.128,443,443,true,FRA,Europe,DE,Frankfurt,369,8.40
141.147.110.95,443,443,true,FRA,Europe,DE,Frankfurt,293,8.32
193.122.12.23,443,443,true,FRA,Europe,DE,Frankfurt,199,8.32
130.162.162.129,443,443,true,CDG,Europe,FR,Paris,396,8.28
152.70.190.111,443,443,true,FRA,Europe,DE,Frankfurt,159,8.22
152.70.57.114,443,443,true,FRA,Europe,DE,Frankfurt,387,8.22
79.72.68.137,443,443,true,FRA,Europe,DE,Frankfurt,285,8.20
138.2.167.112,443,443,true,FRA,Europe,DE,Frankfurt,287,8.18
143.47.177.102,443,443,true,FRA,Europe,DE,Frankfurt,318,8.14
79.72.88.162,443,443,true,FRA,Europe,DE,Frankfurt,287,8.13
150.230.122.242,443,443,true,FRA,Europe,DE,Frankfurt,339,8.12
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,210,8.12
152.70.56.50,443,443,true,FRA,Europe,DE,Frankfurt,405,8.05
193.123.59.33,443,443,true,FRA,Europe,DE,Frankfurt,313,8.03
141.147.102.133,443,443,true,FRA,Europe,DE,Frankfurt,309,8.02
141.147.1.232,443,443,true,FRA,Europe,DE,Frankfurt,228,7.98
