IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
164.152.26.70,2086,true,ORD,North America,Chicago,259 ms,5104 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,256 ms,4485 kB/s
141.148.236.154,443,true,FRA,Europe,Frankfurt,259 ms,4398 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,267 ms,4249 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,297 ms,4194 kB/s
141.147.103.53,443,true,FRA,Europe,Frankfurt,263 ms,4015 kB/s
89.168.112.118,8443,true,FRA,Europe,Frankfurt,304 ms,3619 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,303 ms,3247 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,307 ms,2628 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,310 ms,2568 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,252 ms,2514 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,278 ms,2443 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,252 ms,2370 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,311 ms,2069 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,259 ms,1865 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,315 ms,1011 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,292 ms,979 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,211 ms,668 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,306 ms,636 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,268 ms,371 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,267 ms,294 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,289 ms,157 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,304 ms,115 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,89 ms,67 kB/s
141.147.190.128,443,true,NRT,Asia Pacific,Tokyo,154 ms,45 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,376 ms,34 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,253 ms,14 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,392 ms,4 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,392 ms,4 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,249 ms,0 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,298 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,165 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,187 ms,0 kB/s
