IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
103.235.18.61,34237,true,HKG,Asia Pacific,Hong Kong,88 ms,3511 kB/s
91.217.139.121,8443,true,LAX,North America,Los Angeles,207 ms,3448 kB/s
172.247.123.56,34237,true,LAX,North America,Los Angeles,186 ms,1729 kB/s
38.6.190.192,2087,true,LAX,North America,Los Angeles,191 ms,1139 kB/s
103.99.178.62,31940,true,LAX,North America,Los Angeles,194 ms,1004 kB/s
103.99.178.62,13241,true,LAX,North America,Los Angeles,170 ms,1001 kB/s
103.99.178.62,51794,true,LAX,North America,Los Angeles,179 ms,990 kB/s
172.247.21.125,443,true,LAX,North America,Los Angeles,172 ms,930 kB/s
23.225.195.46,14369,true,LAX,North America,Los Angeles,198 ms,761 kB/s
216.38.168.34,16384,true,LAX,North America,Los Angeles,193 ms,249 kB/s
23.225.64.72,25017,true,SIN,Asia Pacific,Singapore,120 ms,0 kB/s
