IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.237.147.48,443,443,true,SIN,Asia Pacific,SG,Singapore,225,2.49
47.237.159.236,443,443,true,SIN,Asia Pacific,SG,Singapore,140,2.48
47.237.163.11,443,443,true,SIN,Asia Pacific,SG,Singapore,265,2.42
47.237.104.141,443,443,true,SIN,Asia Pacific,SG,Singapore,236,2.33
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,359,2.30
47.237.164.22,443,443,true,SIN,Asia Pacific,SG,Singapore,65,2.26
47.236.30.114,443,443,true,SIN,Asia Pacific,SG,Singapore,250,2.26
47.237.163.99,443,443,true,SIN,Asia Pacific,SG,Singapore,282,2.22
8.222.137.246,443,443,true,SIN,Asia Pacific,SG,Singapore,220,2.22
47.237.139.17,443,443,true,SIN,Asia Pacific,SG,Singapore,218,2.15
47.236.237.167,443,443,true,SIN,Asia Pacific,SG,Singapore,201,2.15
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,196,2.11
47.237.139.17,443,443,true,SIN,Asia Pacific,SG,Singapore,229,2.09
8.219.1.37,443,443,true,SIN,Asia Pacific,SG,Singapore,236,2.08
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,195,2.08
47.236.130.175,443,443,true,SIN,Asia Pacific,SG,Singapore,232,2.03
47.236.237.167,443,443,true,SIN,Asia Pacific,SG,Singapore,198,1.96
8.219.174.50,443,443,true,SIN,Asia Pacific,SG,Singapore,233,1.96
47.237.136.55,443,443,true,SIN,Asia Pacific,SG,Singapore,197,1.92
47.236.227.231,443,443,true,SIN,Asia Pacific,SG,Singapore,256,1.90
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,251,1.84
47.237.108.238,443,443,true,SIN,Asia Pacific,SG,Singapore,275,1.76
47.237.111.119,443,443,true,SIN,Asia Pacific,SG,Singapore,275,1.75
8.219.101.68,443,443,true,SIN,Asia Pacific,SG,Singapore,229,1.71
8.222.209.106,443,443,true,SIN,Asia Pacific,SG,Singapore,200,1.67
47.237.77.120,443,443,true,SIN,Asia Pacific,SG,Singapore,240,1.57
47.237.108.238,443,443,true,SIN,Asia Pacific,SG,Singapore,268,1.46
47.237.153.46,443,443,true,SIN,Asia Pacific,SG,Singapore,272,1.39
47.237.115.177,443,443,true,SIN,Asia Pacific,SG,Singapore,215,1.31
47.237.99.12,443,443,true,SIN,Asia Pacific,SG,Singapore,208,1.25
47.237.103.145,443,443,true,SIN,Asia Pacific,SG,Singapore,251,1.24
47.237.68.205,443,443,true,SIN,Asia Pacific,SG,Singapore,210,1.07
