IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,83 ms,20759 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,99 ms,9428 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,192 ms,7540 kB/s
13.49.166.245,443,true,ARN,Europe,Stockholm,188 ms,6686 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,189 ms,6458 kB/s
13.53.54.176,8080,true,ARN,Europe,Stockholm,184 ms,5977 kB/s
13.41.76.64,8080,true,LHR,Europe,London,241 ms,5513 kB/s
13.53.51.77,8080,true,ARN,Europe,Stockholm,204 ms,4843 kB/s
13.53.132.96,8080,true,ARN,Europe,Stockholm,196 ms,4405 kB/s
204.110.221.135,80,true,SEA,North America,Seattle,221 ms,3829 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,252 ms,2712 kB/s
204.110.223.199,80,true,CMH,North America,Columbus,251 ms,2331 kB/s
44.226.147.29,443,true,SEA,North America,Seattle,244 ms,2057 kB/s
204.110.221.251,80,true,SEA,North America,Seattle,226 ms,1868 kB/s
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,79 ms,828 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,199 ms,448 kB/s
13.41.203.20,8080,true,LHR,Europe,London,263 ms,345 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,310 ms,291 kB/s
18.135.67.188,443,true,LHR,Europe,London,201 ms,131 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,234 ms,128 kB/s
18.135.188.86,443,true,LHR,Europe,London,193 ms,105 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,212 ms,102 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,254 ms,73 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,295 ms,67 kB/s
18.189.94.250,443,true,IAD,North America,Ashburn,263 ms,64 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,278 ms,64 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,296 ms,64 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,201 ms,0 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,102 ms,0 kB/s
