IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
84.8.148.51,443,443,true,FRA,Europe,DE,Frankfurt,326,6.07
143.47.191.163,443,443,true,FRA,Europe,DE,Frankfurt,287,6.05
158.101.202.123,443,443,true,FRA,Europe,DE,Frankfurt,284,6.04
193.122.50.245,443,443,true,FRA,Europe,DE,Frankfurt,212,6.02
129.80.63.137,443,443,true,IAD,North America,US,Ashburn,245,6.01
129.80.126.159,443,443,true,IAD,North America,US,Ashburn,241,6.00
158.180.36.153,443,443,true,FRA,Europe,DE,Frankfurt,243,5.99
138.3.240.233,443,443,true,FRA,Europe,DE,Frankfurt,287,5.99
168.138.162.187,443,443,true,SIN,Asia Pacific,SG,Singapore,87,5.98
144.24.182.101,443,443,true,FRA,Europe,DE,Frankfurt,332,5.96
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,391,5.93
152.70.183.95,443,443,true,FRA,Europe,DE,Frankfurt,301,5.91
158.180.52.234,443,443,true,FRA,Europe,DE,Frankfurt,296,5.90
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,100,5.89
141.148.235.244,443,443,true,FRA,Europe,DE,Frankfurt,273,5.89
143.47.225.142,443,443,true,FRA,Europe,DE,Frankfurt,351,5.89
132.145.54.84,8443,443,true,LHR,Europe,GB,London,241,5.88
141.148.229.158,443,443,true,FRA,Europe,DE,Frankfurt,252,5.87
141.148.41.74,443,443,true,IAD,North America,US,Ashburn,292,5.86
130.162.251.172,443,443,true,FRA,Europe,DE,Frankfurt,225,5.84
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,190,5.81
131.186.60.210,8080,443,true,NRT,Asia Pacific,JP,Tokyo,163,5.81
89.168.68.39,443,443,true,FRA,Europe,DE,Frankfurt,334,5.80
152.67.222.167,443,443,true,ICN,Asia Pacific,KR,Seoul,172,5.80
217.142.138.20,443,443,true,ICN,Asia Pacific,KR,Seoul,195,5.80
141.147.28.173,443,443,true,FRA,Europe,DE,Frankfurt,254,5.79
193.122.2.118,443,443,true,FRA,Europe,DE,Frankfurt,339,5.76
158.101.141.78,443,443,true,NRT,Asia Pacific,JP,Tokyo,166,5.71
193.123.60.193,443,443,true,FRA,Europe,DE,Frankfurt,417,5.71
141.147.67.92,443,443,true,FRA,Europe,DE,Frankfurt,218,5.67
130.162.180.154,443,443,true,FRA,Europe,DE,Frankfurt,240,5.67
193.123.38.140,443,443,true,FRA,Europe,DE,Frankfurt,355,5.66
129.80.118.205,443,443,true,IAD,North America,US,Ashburn,340,5.64
217.142.243.226,443,443,true,KIX,Asia Pacific,JP,Osaka,248,5.58
144.21.33.126,443,443,true,FRA,Europe,DE,Frankfurt,287,5.56
131.186.25.156,2087,2096,true,ICN,Asia Pacific,KR,Seoul,336,5.56
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,178,5.54
84.8.152.171,443,443,true,FRA,Europe,DE,Frankfurt,310,5.53
141.148.240.113,443,443,true,FRA,Europe,DE,Frankfurt,217,5.51
79.76.100.227,443,443,true,FRA,Europe,DE,Frankfurt,233,5.51
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,362,5.50
193.122.52.242,443,443,true,FRA,Europe,DE,Frankfurt,222,5.50
141.147.73.62,443,443,true,FRA,Europe,DE,Frankfurt,373,5.48
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,105,5.48
84.8.146.204,443,443,true,FRA,Europe,DE,Frankfurt,281,5.48
144.24.161.155,443,443,true,FRA,Europe,DE,Frankfurt,343,5.47
129.159.247.73,443,443,true,FRA,Europe,DE,Frankfurt,198,5.45
79.72.92.195,443,443,true,FRA,Europe,DE,Frankfurt,257,5.44
132.226.131.19,443,443,true,FRA,Europe,DE,Frankfurt,270,5.44
144.24.73.232,443,443,true,ICN,Asia Pacific,KR,Seoul,239,5.43
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,247,5.42
130.162.234.139,443,443,true,FRA,Europe,DE,Frankfurt,246,5.41
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,237,5.41
129.153.26.19,443,443,true,IAD,North America,US,Ashburn,238,5.40
150.230.119.51,443,443,true,FRA,Europe,DE,Frankfurt,311,5.38
132.226.213.244,443,443,true,FRA,Europe,DE,Frankfurt,285,5.38
141.144.205.57,443,443,true,FRA,Europe,DE,Frankfurt,225,5.37
89.168.81.252,443,443,true,FRA,Europe,DE,Frankfurt,355,5.37
141.144.202.167,443,443,true,FRA,Europe,DE,Frankfurt,260,5.33
193.123.240.171,443,443,true,ICN,Asia Pacific,KR,Seoul,252,5.32
146.56.161.160,443,443,true,LAX,North America,US,Los Angeles,325,5.28
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,233,5.26
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,180,5.23
152.70.117.174,443,443,true,SJC,North America,US,San Jose,280,5.21
141.148.244.81,443,443,true,FRA,Europe,DE,Frankfurt,245,5.21
79.72.77.35,443,443,true,FRA,Europe,DE,Frankfurt,314,5.20
141.147.80.160,443,443,true,FRA,Europe,DE,Frankfurt,273,5.20
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,380,5.19
143.47.189.33,443,443,true,FRA,Europe,DE,Frankfurt,386,5.19
152.70.61.98,443,443,true,FRA,Europe,DE,Frankfurt,265,5.18
141.148.231.253,443,443,true,FRA,Europe,DE,Frankfurt,254,5.16
141.147.103.247,443,443,true,FRA,Europe,DE,Frankfurt,286,5.15
168.138.215.251,443,443,true,NRT,Asia Pacific,JP,Tokyo,163,5.13
130.162.215.195,443,443,true,FRA,Europe,DE,Frankfurt,280,5.13
141.147.154.214,443,443,true,KIX,Asia Pacific,JP,Osaka,110,5.12
89.168.72.146,443,443,true,FRA,Europe,DE,Frankfurt,272,5.11
143.47.190.149,443,443,true,FRA,Europe,DE,Frankfurt,376,5.10
140.83.61.244,443,443,true,SEA,North America,US,Seattle,243,5.10
141.148.240.62,443,443,true,FRA,Europe,DE,Frankfurt,289,5.09
79.76.116.151,443,443,true,FRA,Europe,DE,Frankfurt,238,5.09
138.3.215.28,443,443,true,SJC,North America,US,San Jose,320,5.08
193.123.63.33,443,443,true,FRA,Europe,DE,Frankfurt,314,5.06
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,171,5.06
89.168.77.170,443,443,true,FRA,Europe,DE,Frankfurt,332,5.02
138.2.18.82,8880,443,true,NRT,Asia Pacific,JP,Tokyo,183,5.02
84.235.173.205,443,443,true,FRA,Europe,DE,Frankfurt,248,5.01
84.235.160.167,443,443,true,FRA,Europe,DE,Frankfurt,167,5.00
141.148.231.255,443,443,true,FRA,Europe,DE,Frankfurt,222,5.00
130.162.182.31,443,443,true,FRA,Europe,DE,Frankfurt,216,4.98
129.213.192.108,443,443,true,IAD,North America,US,Ashburn,228,4.97
158.178.150.116,443,443,true,FRA,Europe,DE,Frankfurt,346,4.97
141.147.118.29,443,443,true,FRA,Europe,DE,Frankfurt,281,4.97
130.162.172.5,443,443,true,FRA,Europe,DE,Frankfurt,262,4.96
140.83.81.109,443,443,true,KIX,Asia Pacific,JP,Osaka,103,4.96
131.186.19.112,2083,2083,true,ICN,Asia Pacific,KR,Seoul,95,4.96
130.162.251.126,443,443,true,FRA,Europe,DE,Frankfurt,277,4.96
