IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,83 ms,21683 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,107 ms,9199 kB/s
13.53.54.176,8080,true,ARN,Europe,Stockholm,203 ms,8382 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,196 ms,8030 kB/s
13.53.132.96,8080,true,ARN,Europe,Stockholm,184 ms,6019 kB/s
13.49.166.245,443,true,ARN,Europe,Stockholm,177 ms,5839 kB/s
204.110.223.40,80,true,IAD,North America,Ashburn,253 ms,5102 kB/s
204.110.223.177,80,true,IAD,North America,Ashburn,250 ms,3747 kB/s
13.41.76.64,8080,true,LHR,Europe,London,192 ms,3064 kB/s
13.53.51.77,8080,true,ARN,Europe,Stockholm,198 ms,2156 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,204 ms,1543 kB/s
204.110.221.48,80,true,SEA,North America,Seattle,206 ms,1404 kB/s
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,84 ms,940 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,116 ms,336 kB/s
13.41.203.20,8080,true,LHR,Europe,London,179 ms,323 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,286 ms,208 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,259 ms,147 kB/s
18.135.67.188,443,true,LHR,Europe,London,185 ms,102 kB/s
18.189.94.250,443,true,IAD,North America,Ashburn,239 ms,86 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,300 ms,83 kB/s
44.226.147.29,443,true,SEA,North America,Seattle,221 ms,83 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,298 ms,61 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,215 ms,0 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,225 ms,0 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,195 ms,0 kB/s
