IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.46.164,443,true,LAX,North America,Los Angeles,263 ms,5899 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,260 ms,5404 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,296 ms,4367 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,187 ms,3971 kB/s
141.147.54.183,443,true,FRA,Europe,Frankfurt,309 ms,3944 kB/s
132.145.54.84,2053,true,LHR,Europe,London,251 ms,3836 kB/s
129.146.168.102,443,true,LAX,North America,Los Angeles,249 ms,3821 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,262 ms,3581 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,249 ms,3487 kB/s
129.146.220.190,443,true,LAX,North America,Los Angeles,254 ms,3391 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,303 ms,3376 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,309 ms,3343 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,252 ms,3205 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,306 ms,3051 kB/s
130.61.170.78,443,true,CDG,Europe,Paris,312 ms,3032 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,306 ms,3022 kB/s
143.47.243.144,8443,true,LHR,Europe,London,255 ms,2999 kB/s
132.145.54.84,8443,true,LHR,Europe,London,246 ms,2983 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,299 ms,2958 kB/s
132.226.31.178,443,true,LAX,North America,Los Angeles,248 ms,2905 kB/s
143.47.243.144,2053,true,LHR,Europe,London,255 ms,2847 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,301 ms,2793 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,299 ms,2755 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,295 ms,2601 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,270 ms,2582 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,302 ms,2509 kB/s
141.144.197.111,443,true,AMS,Europe,Amsterdam,303 ms,2434 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,266 ms,2338 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,306 ms,2329 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,272 ms,2255 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,299 ms,1931 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,268 ms,1835 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,261 ms,1186 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,260 ms,1100 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,298 ms,473 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,303 ms,454 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,255 ms,204 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,306 ms,198 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,250 ms,188 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,301 ms,150 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,267 ms,144 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,364 ms,112 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,334 ms,89 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,381 ms,83 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,389 ms,38 kB/s
129.213.136.180,443,true,IAD,North America,Ashburn,266 ms,24 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,239 ms,22 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,381 ms,18 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,244 ms,7 kB/s
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,84 ms,0 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,206 ms,0 kB/s
129.151.148.35,443,true,DXB,Middle East,Dubai,180 ms,0 kB/s
152.67.65.201,443,true,ZRH,Europe,Zurich,255 ms,0 kB/s
129.159.130.38,443,true,MRS,Europe,Marseille,287 ms,0 kB/s
129.154.46.115,443,true,HYD,Asia Pacific,Hyderabad,376 ms,0 kB/s
140.83.86.166,443,true,KIX,Asia Pacific,Osaka,265 ms,0 kB/s
140.238.88.47,443,true,LHR,Europe,London,252 ms,0 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,277 ms,0 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,149 ms,0 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,116 ms,0 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,83 ms,0 kB/s
