IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
143.47.177.101,443,443,true,FRA,Europe,DE,Frankfurt,326,8.82
130.162.176.245,443,443,true,FRA,Europe,DE,Frankfurt,282,8.81
158.101.217.8,443,443,true,FRA,Europe,DE,Frankfurt,324,8.77
144.21.61.86,443,443,true,FRA,Europe,DE,Frankfurt,185,8.77
152.70.51.216,443,443,true,FRA,Europe,DE,Frankfurt,388,8.77
132.145.10.109,443,443,true,FRA,Europe,DE,Frankfurt,288,8.77
144.21.53.79,443,443,true,FRA,Europe,DE,Frankfurt,254,8.74
150.230.125.106,443,443,true,FRA,Europe,DE,Frankfurt,345,8.72
150.230.126.228,443,443,true,FRA,Europe,DE,Frankfurt,227,8.70
141.147.72.57,443,443,true,FRA,Europe,DE,Frankfurt,378,8.70
138.2.175.192,443,443,true,FRA,Europe,DE,Frankfurt,378,8.69
132.145.247.146,443,443,true,FRA,Europe,DE,Frankfurt,331,8.69
141.148.228.124,443,443,true,FRA,Europe,DE,Frankfurt,345,8.69
89.168.112.118,8443,443,true,FRA,Europe,DE,Frankfurt,345,8.69
89.168.75.199,443,443,true,FRA,Europe,DE,Frankfurt,162,8.69
130.162.251.109,443,443,true,FRA,Europe,DE,Frankfurt,308,8.68
130.162.218.98,443,443,true,FRA,Europe,DE,Frankfurt,306,8.68
138.2.161.77,443,443,true,FRA,Europe,DE,Frankfurt,283,8.67
144.24.185.105,443,443,true,CDG,Europe,FR,Paris,315,8.63
130.162.230.14,443,443,true,FRA,Europe,DE,Frankfurt,256,8.63
150.230.116.183,443,443,true,FRA,Europe,DE,Frankfurt,258,8.61
144.24.179.242,443,443,true,CDG,Europe,FR,Paris,283,8.60
129.146.60.210,443,443,true,LAX,North America,US,Los Angeles,326,8.56
193.122.5.158,443,443,true,CDG,Europe,FR,Paris,179,8.56
130.162.170.191,443,443,true,FRA,Europe,DE,Frankfurt,326,8.55
158.178.147.203,443,443,true,FRA,Europe,DE,Frankfurt,283,8.54
141.148.225.64,443,443,true,FRA,Europe,DE,Frankfurt,369,8.54
143.47.245.194,443,443,true,FRA,Europe,DE,Frankfurt,212,8.48
141.147.102.151,443,443,true,FRA,Europe,DE,Frankfurt,320,8.48
158.101.208.215,443,443,true,FRA,Europe,DE,Frankfurt,259,8.48
141.147.113.56,443,443,true,FRA,Europe,DE,Frankfurt,225,8.40
141.147.99.111,443,443,true,CDG,Europe,FR,Paris,315,8.38
158.178.153.141,443,443,true,FRA,Europe,DE,Frankfurt,223,8.38
141.147.83.62,443,443,true,FRA,Europe,DE,Frankfurt,259,8.36
132.145.54.84,2053,443,true,LHR,Europe,GB,London,276,8.35
130.162.217.103,443,443,true,FRA,Europe,DE,Frankfurt,278,8.35
152.70.50.95,443,443,true,FRA,Europe,DE,Frankfurt,418,8.33
143.47.182.48,443,443,true,FRA,Europe,DE,Frankfurt,340,8.32
141.147.68.63,443,443,true,FRA,Europe,DE,Frankfurt,331,8.31
141.147.70.229,443,443,true,FRA,Europe,DE,Frankfurt,333,8.30
141.147.112.138,443,443,true,FRA,Europe,DE,Frankfurt,370,8.20
143.47.227.26,443,443,true,FRA,Europe,DE,Frankfurt,274,8.15
193.123.59.141,443,443,true,FRA,Europe,DE,Frankfurt,288,8.14
152.70.48.20,443,443,true,FRA,Europe,DE,Frankfurt,312,8.12
79.72.92.191,443,443,true,SEA,North America,US,Seattle,184,8.10
143.47.237.138,443,443,true,FRA,Europe,DE,Frankfurt,288,8.07
141.147.6.48,443,443,true,FRA,Europe,DE,Frankfurt,239,8.07
132.226.135.88,443,443,true,FRA,Europe,DE,Frankfurt,269,8.07
143.47.189.69,443,443,true,FRA,Europe,DE,Frankfurt,247,8.05
144.24.191.188,443,443,true,CDG,Europe,FR,Paris,331,8.04
130.162.167.47,443,443,true,FRA,Europe,DE,Frankfurt,338,8.03
141.147.66.132,443,443,true,FRA,Europe,DE,Frankfurt,372,8.03
84.235.163.139,443,443,true,FRA,Europe,DE,Frankfurt,259,8.00
150.230.22.226,443,443,true,FRA,Europe,DE,Frankfurt,351,7.99
141.147.97.112,443,443,true,FRA,Europe,DE,Frankfurt,374,7.98
204.216.105.106,8443,8443,true,YUL,North America,CA,Montréal,378,7.94
130.162.188.114,443,443,true,FRA,Europe,DE,Frankfurt,307,7.94
150.230.112.24,443,443,true,FRA,Europe,DE,Frankfurt,179,7.84
143.47.227.239,443,443,true,FRA,Europe,DE,Frankfurt,311,7.83
193.123.60.89,443,443,true,FRA,Europe,DE,Frankfurt,354,7.78
144.24.164.18,443,443,true,FRA,Europe,DE,Frankfurt,331,7.78
130.162.251.89,443,443,true,DUS,Europe,DE,Düsseldorf,307,7.76
79.72.74.165,443,443,true,FRA,Europe,DE,Frankfurt,312,7.72
132.226.130.146,443,443,true,FRA,Europe,DE,Frankfurt,428,7.72
140.238.121.17,443,443,true,FRA,Europe,DE,Frankfurt,354,7.69
158.101.208.160,443,443,true,FRA,Europe,DE,Frankfurt,280,7.64
79.72.78.86,443,443,true,FRA,Europe,DE,Frankfurt,207,7.64
79.76.126.31,443,443,true,FRA,Europe,DE,Frankfurt,160,7.62
141.147.114.118,443,443,true,FRA,Europe,DE,Frankfurt,377,7.61
141.147.85.101,443,443,true,FRA,Europe,DE,Frankfurt,350,7.59
