IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
40.233.70.7,8443,true,YYZ,North America,Toronto,233 ms,6147 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,258 ms,4914 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,246 ms,4790 kB/s
144.21.35.90,443,true,FRA,Europe,Frankfurt,240 ms,4684 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,250 ms,4570 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,254 ms,3819 kB/s
141.147.85.167,8443,true,LHR,Europe,London,252 ms,3731 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,230 ms,3727 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,274 ms,3707 kB/s
193.122.1.0,2053,true,FRA,Europe,Frankfurt,311 ms,3617 kB/s
143.47.243.144,8443,true,LHR,Europe,London,249 ms,3525 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,357 ms,3490 kB/s
132.145.54.84,8443,true,LHR,Europe,London,238 ms,3451 kB/s
132.145.54.84,2053,true,LHR,Europe,London,236 ms,3375 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,246 ms,3368 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,270 ms,3243 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,256 ms,3001 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,313 ms,2933 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,239 ms,2927 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,254 ms,2741 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,248 ms,2655 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,275 ms,2466 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,293 ms,2278 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,264 ms,2154 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,294 ms,2121 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,260 ms,2117 kB/s
89.168.112.118,2096,true,FRA,Europe,Frankfurt,307 ms,2105 kB/s
143.47.243.144,2053,true,LHR,Europe,London,242 ms,1817 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,241 ms,1775 kB/s
89.168.112.118,2053,true,FRA,Europe,Frankfurt,296 ms,1775 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,368 ms,1705 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,280 ms,1686 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,301 ms,1636 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,259 ms,1315 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,257 ms,1139 kB/s
89.168.112.118,8443,true,FRA,Europe,Frankfurt,303 ms,956 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,310 ms,943 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,360 ms,620 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,235 ms,601 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,293 ms,569 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,272 ms,489 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,362 ms,393 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,315 ms,323 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,318 ms,320 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,366 ms,227 kB/s
141.147.190.128,443,true,NRT,Asia Pacific,Tokyo,136 ms,221 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,360 ms,99 kB/s
150.230.34.116,443,true,SJC,North America,San Jose,173 ms,0 kB/s
140.238.88.47,443,true,LHR,Europe,London,236 ms,0 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,257 ms,0 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,92 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,230 ms,0 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,268 ms,0 kB/s
