IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.168.91.90,443,443,true,FRA,Europe,Frankfurt,262,7.31
144.21.34.54,443,443,true,FRA,Europe,Frankfurt,190,7.30
130.162.177.222,443,443,true,FRA,Europe,Frankfurt,396,7.28
141.147.62.123,443,443,true,FRA,Europe,Frankfurt,286,7.26
89.168.91.246,443,443,true,FRA,Europe,Frankfurt,316,7.22
141.148.243.208,443,443,true,FRA,Europe,Frankfurt,350,7.20
79.76.99.197,443,443,true,FRA,Europe,Frankfurt,294,7.15
141.148.234.169,443,443,true,FRA,Europe,Frankfurt,401,7.14
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,358,7.14
164.152.26.70,2086,443,true,ORD,North America,Chicago,232,7.12
141.147.45.10,443,443,true,FRA,Europe,Frankfurt,291,7.12
143.47.189.12,443,443,true,FRA,Europe,Frankfurt,232,7.12
140.238.121.142,443,443,true,FRA,Europe,Frankfurt,336,7.12
152.70.58.109,443,443,true,FRA,Europe,Frankfurt,445,7.02
138.2.156.236,443,443,true,FRA,Europe,Frankfurt,351,7.02
150.230.112.123,443,443,true,FRA,Europe,Frankfurt,290,7.00
89.168.119.187,443,443,true,FRA,Europe,Frankfurt,387,7.00
132.145.224.231,443,443,true,FRA,Europe,Frankfurt,282,6.99
130.162.172.246,443,443,true,FRA,Europe,Frankfurt,367,6.98
140.238.126.113,443,443,true,FRA,Europe,Frankfurt,368,6.95
141.148.233.160,443,443,true,FRA,Europe,Frankfurt,385,6.94
152.70.172.152,443,443,true,FRA,Europe,Frankfurt,407,6.90
141.147.82.107,443,443,true,FRA,Europe,Frankfurt,205,6.89
138.2.159.51,443,443,true,FRA,Europe,Frankfurt,539,6.87
158.101.217.205,443,443,true,FRA,Europe,Frankfurt,300,6.87
141.148.245.167,443,443,true,FRA,Europe,Frankfurt,362,6.86
158.101.220.201,443,443,true,FRA,Europe,Frankfurt,436,6.83
150.230.114.32,443,443,true,FRA,Europe,Frankfurt,343,6.82
130.162.209.173,443,443,true,FRA,Europe,Frankfurt,251,6.81
89.168.77.201,443,443,true,FRA,Europe,Frankfurt,198,6.77
129.159.255.130,443,443,true,FRA,Europe,Frankfurt,309,6.76
141.147.66.94,443,443,true,FRA,Europe,Frankfurt,220,6.76
141.144.230.233,443,443,true,FRA,Europe,Frankfurt,372,6.75
141.144.198.66,443,443,true,FRA,Europe,Frankfurt,197,6.75
79.72.90.82,443,443,true,FRA,Europe,Frankfurt,188,6.74
89.168.117.21,443,443,true,FRA,Europe,Frankfurt,319,6.72
79.72.93.245,443,443,true,FRA,Europe,Frankfurt,273,6.71
40.233.70.7,8443,443,true,YYZ,North America,Toronto,382,6.71
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,285,6.70
84.235.172.74,443,443,true,FRA,Europe,Frankfurt,229,6.69
84.8.159.248,443,443,true,FRA,Europe,Frankfurt,313,6.68
79.72.94.180,443,443,true,FRA,Europe,Frankfurt,203,6.65
89.168.102.5,443,443,true,FRA,Europe,Frankfurt,354,6.63
141.147.105.39,443,443,true,FRA,Europe,Frankfurt,202,6.56
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,240,6.52
132.145.54.84,8443,443,true,LHR,Europe,London,258,6.47
89.168.101.189,443,443,true,FRA,Europe,Frankfurt,311,6.45
141.147.98.7,443,443,true,FRA,Europe,Frankfurt,294,6.44
79.76.116.48,443,443,true,FRA,Europe,Frankfurt,281,6.38
130.162.186.132,443,443,true,FRA,Europe,Frankfurt,438,6.35
89.168.85.211,443,443,true,FRA,Europe,Frankfurt,272,6.30
141.147.73.230,443,443,true,FRA,Europe,Frankfurt,215,6.30
130.162.174.113,443,443,true,FRA,Europe,Frankfurt,321,6.26
143.47.243.144,2053,443,true,LHR,Europe,London,291,6.24
129.146.7.98,443,443,true,LAX,North America,Los Angeles,232,6.22
89.168.112.118,443,443,true,FRA,Europe,Frankfurt,379,6.16
141.147.15.11,443,443,true,FRA,Europe,Frankfurt,284,6.14
132.145.54.84,2053,443,true,LHR,Europe,London,250,6.10
132.145.12.234,443,443,true,FRA,Europe,Frankfurt,282,6.09
141.147.100.219,443,443,true,FRA,Europe,Frankfurt,181,6.08
130.162.171.75,443,443,true,FRA,Europe,Frankfurt,382,5.94
150.136.240.243,443,443,true,IAD,North America,Ashburn,237,5.87
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,267,5.87
129.154.46.115,443,443,true,HYD,Asia Pacific,Hyderabad,247,5.82
132.226.7.217,443,443,true,NRT,Asia Pacific,Tokyo,161,5.78
217.142.243.226,443,443,true,KIX,Asia Pacific,Osaka,159,5.76
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,251,5.59
146.56.101.141,443,443,true,ICN,Asia Pacific,Seoul,255,5.48
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,218,5.43
217.142.128.169,443,443,true,ICN,Asia Pacific,Seoul,333,5.42
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,372,5.41
217.142.149.74,2053,443,true,ICN,Asia Pacific,Seoul,363,5.33
152.70.71.23,443,443,true,MRS,Europe,Marseille,237,5.29
141.145.205.115,8443,8443,true,CDG,Europe,Paris,315,5.27
89.168.43.28,443,443,true,CDG,Europe,Paris,362,5.24
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,86,5.23
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,202,5.20
129.146.220.190,443,443,true,LAX,North America,Los Angeles,250,5.15
144.24.90.107,443,443,true,ICN,Asia Pacific,Seoul,241,5.12
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,425,5.09
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.00
152.67.78.184,443,443,true,ZRH,Europe,Zurich,197,4.97
152.70.88.98,443,443,true,ICN,Asia Pacific,Seoul,213,4.96
150.230.125.47,443,443,true,FRA,Europe,Frankfurt,213,4.94
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,279,4.90
152.67.65.201,443,443,true,ZRH,Europe,Zurich,183,4.84
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,383,4.83
141.147.85.167,8443,443,true,LHR,Europe,London,172,4.81
129.151.148.35,443,443,true,DXB,Middle East,Dubai,144,4.80
89.168.16.202,443,443,true,MXP,Europe,Milan,181,4.78
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,269,4.74
158.180.231.173,443,443,true,MXP,Europe,Milan,230,4.73
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,360,4.73
141.148.242.113,8443,443,true,AMS,Europe,Amsterdam,259,4.70
158.101.199.249,8443,443,true,AMS,Europe,Amsterdam,243,4.67
129.159.37.229,443,443,true,SJC,North America,San Jose,250,4.65
192.9.237.203,443,443,true,SJC,North America,San Jose,327,4.65
146.235.219.98,443,443,true,SJC,North America,San Jose,234,4.58
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,255,4.58
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,380,4.53
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,360,4.48
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,284,4.47
158.179.203.23,443,443,true,OSL,Europe,Oslo,370,4.46
129.154.59.99,443,443,true,ICN,Asia Pacific,Seoul,187,4.45
155.248.196.123,443,443,true,YVR,North America,Vancouver,201,4.45
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,326,4.44
158.180.231.216,443,443,true,MRS,Europe,Marseille,341,4.44
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,357,4.44
129.159.47.255,443,443,true,SJC,North America,San Jose,207,4.43
130.61.83.174,443,443,true,FRA,Europe,Frankfurt,289,4.36
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,356,4.35
132.226.31.178,443,443,true,LAX,North America,Los Angeles,244,4.33
152.67.231.219,443,443,true,SJC,North America,San Jose,239,4.31
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,69,4.24
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,256,4.20
152.70.57.182,443,443,true,AMS,Europe,Amsterdam,375,4.19
129.146.254.39,443,443,true,LAX,North America,Los Angeles,214,4.18
129.159.34.122,443,443,true,SJC,North America,San Jose,178,4.18
152.67.234.49,8443,443,true,SJC,North America,San Jose,387,4.14
129.80.123.71,443,443,true,IAD,North America,Ashburn,258,4.12
193.122.110.171,443,443,true,ICN,Asia Pacific,Seoul,325,4.08
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,331,4.04
129.213.136.180,443,443,true,IAD,North America,Ashburn,227,3.99
140.238.158.238,8080,443,true,YYZ,North America,Toronto,341,3.98
