IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
204.110.223.44,80,443,true,CMH,North America,US,Columbus,673,2.06
204.110.223.13,80,443,true,ORD,North America,US,Chicago,342,2.03
204.110.223.49,80,443,true,CMH,North America,US,Columbus,439,2.00
13.58.22.83,443,443,true,ORD,North America,US,Chicago,451,2.00
204.110.223.92,80,443,true,CMH,North America,US,Columbus,670,1.97
18.191.71.93,443,443,true,ORD,North America,US,Chicago,265,1.96
204.110.223.88,80,443,true,ORD,North America,US,Chicago,680,1.89
204.110.223.53,80,443,true,ORD,North America,US,Chicago,674,1.87
13.61.35.82,443,443,true,AMS,Europe,NL,Amsterdam,229,1.84
204.110.223.62,80,443,true,ORD,North America,US,Chicago,753,1.78
204.110.223.89,80,443,true,CMH,North America,US,Columbus,488,1.75
204.110.223.61,80,443,true,ORD,North America,US,Chicago,724,1.73
204.110.223.81,80,443,true,CMH,North America,US,Columbus,491,1.71
204.110.223.238,80,443,true,ORD,North America,US,Chicago,750,1.70
204.110.223.129,80,443,true,ORD,North America,US,Chicago,684,1.69
204.110.223.83,80,443,true,CMH,North America,US,Columbus,701,1.68
204.110.223.29,80,443,true,CMH,North America,US,Columbus,725,1.66
204.110.223.183,80,443,true,ORD,North America,US,Chicago,510,1.63
204.110.223.236,80,443,true,CMH,North America,US,Columbus,702,1.63
204.110.223.78,80,443,true,CMH,North America,US,Columbus,664,1.62
204.110.223.130,80,443,true,CMH,North America,US,Columbus,722,1.60
204.110.223.224,80,443,true,ORD,North America,US,Chicago,739,1.59
204.110.223.124,80,443,true,CMH,North America,US,Columbus,682,1.59
204.110.223.213,80,443,true,CMH,North America,US,Columbus,670,1.56
204.110.223.240,80,443,true,CMH,North America,US,Columbus,662,1.56
204.110.223.149,80,443,true,ORD,North America,US,Chicago,574,1.48
204.110.223.121,80,443,true,CMH,North America,US,Columbus,677,1.45
18.201.99.3,443,443,true,DUB,Europe,IE,Dublin,179,1.35
204.110.223.67,80,443,true,ORD,North America,US,Chicago,704,1.27
15.188.202.197,2083,443,true,CDG,Europe,FR,Paris,199,0.92
54.216.170.82,443,443,true,DUB,Europe,IE,Dublin,260,0.72
13.54.198.183,443,443,true,SYD,Oceania,AU,Sydney,323,0.58
13.43.173.97,8443,443,true,LHR,Europe,GB,London,198,0.46
54.74.202.70,443,443,true,DUB,Europe,IE,Dublin,375,0.30
13.53.81.150,2083,443,true,HAM,Europe,DE,Hamburg,276,0.22
13.43.173.97,8080,443,true,LHR,Europe,GB,London,362,0.21
13.61.22.225,443,443,true,AMS,Europe,NL,Amsterdam,227,0.16
54.216.145.215,443,443,true,DUB,Europe,IE,Dublin,256,0.16
13.60.30.237,443,443,true,AMS,Europe,NL,Amsterdam,187,0.14
18.201.11.243,443,443,true,DUB,Europe,IE,Dublin,188,0.13
15.157.7.168,443,443,true,YUL,North America,CA,Montréal,340,0.06
16.163.147.103,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,290,0.05
16.163.147.103,2053,443,true,HKG,Asia Pacific,HK,Hong Kong,244,0.04
54.93.45.216,443,443,true,AMS,Europe,NL,Amsterdam,175,0.01
13.127.74.176,2095,80,false,ORD,North America,US,Chicago,220,0.00
13.127.74.176,2053,80,false,ORD,North America,US,Chicago,86,0.00
3.110.108.18,2083,80,false,ORD,North America,US,Chicago,63,0.00
13.233.116.250,443,80,false,ORD,North America,US,Chicago,115,0.00
13.233.116.250,2087,80,false,ORD,North America,US,Chicago,68,0.00
13.233.116.250,8880,80,false,ORD,North America,US,Chicago,128,0.00
13.233.116.250,8080,80,false,ORD,North America,US,Chicago,150,0.00
3.110.108.18,8080,80,false,ORD,North America,US,Chicago,63,0.00
13.233.116.250,2052,80,false,ORD,North America,US,Chicago,146,0.00
52.66.152.200,8080,80,false,ORD,North America,US,Chicago,61,0.00
52.66.152.200,2052,80,false,ORD,North America,US,Chicago,60,0.00
13.235.79.32,8880,80,false,ORD,North America,US,Chicago,133,0.00
35.154.150.53,2053,80,false,ORD,North America,US,Chicago,62,0.00
35.154.150.53,2086,80,false,ORD,North America,US,Chicago,61,0.00
13.235.79.32,2087,80,false,ORD,North America,US,Chicago,86,0.00
13.235.79.32,443,80,false,ORD,North America,US,Chicago,128,0.00
13.235.79.32,2052,80,false,ORD,North America,US,Chicago,108,0.00
13.235.79.32,2082,80,false,ORD,North America,US,Chicago,140,0.00
13.235.79.32,2095,80,false,ORD,North America,US,Chicago,167,0.00
13.235.79.32,8443,80,false,ORD,North America,US,Chicago,130,0.00
13.235.79.32,80,80,false,ORD,North America,US,Chicago,149,0.00
13.235.79.32,2096,80,false,ORD,North America,US,Chicago,92,0.00
13.235.79.32,2086,80,false,ORD,North America,US,Chicago,142,0.00
13.235.79.32,8080,80,false,ORD,North America,US,Chicago,111,0.00
13.127.74.176,2086,80,false,ORD,North America,US,Chicago,112,0.00
13.127.74.176,80,80,false,ORD,North America,US,Chicago,144,0.00
13.127.74.176,443,80,false,ORD,North America,US,Chicago,125,0.00
13.127.74.176,2082,80,false,ORD,North America,US,Chicago,122,0.00
13.127.74.176,2083,80,false,ORD,North America,US,Chicago,229,0.00
13.127.74.176,8080,80,false,ORD,North America,US,Chicago,192,0.00
13.127.74.176,2096,80,false,ORD,North America,US,Chicago,167,0.00
13.127.74.176,2087,80,false,ORD,North America,US,Chicago,196,0.00
13.233.118.148,2096,80,false,ORD,North America,US,Chicago,168,0.00
13.233.118.148,80,80,false,ORD,North America,US,Chicago,123,0.00
13.233.118.148,2052,80,false,ORD,North America,US,Chicago,124,0.00
13.233.118.148,2053,80,false,ORD,North America,US,Chicago,108,0.00
13.233.118.148,8880,80,false,ORD,North America,US,Chicago,180,0.00
13.233.118.148,2086,80,false,ORD,North America,US,Chicago,132,0.00
52.24.206.112,2095,80,false,ORD,North America,US,Chicago,201,0.00
34.222.124.69,2096,80,false,ORD,North America,US,Chicago,197,0.00
54.188.235.2,80,80,false,ORD,North America,US,Chicago,208,0.00
52.24.206.112,8080,80,false,ORD,North America,US,Chicago,203,0.00
35.85.50.210,2083,80,false,ORD,North America,US,Chicago,205,0.00
52.24.206.112,2082,80,false,ORD,North America,US,Chicago,208,0.00
35.85.50.210,2053,80,false,ORD,North America,US,Chicago,198,0.00
52.24.206.112,2086,80,false,ORD,North America,US,Chicago,195,0.00
54.188.235.2,2082,80,false,ORD,North America,US,Chicago,203,0.00
52.24.206.112,80,80,false,ORD,North America,US,Chicago,208,0.00
35.93.120.62,2053,80,false,ORD,North America,US,Chicago,195,0.00
54.188.235.2,2095,80,false,ORD,North America,US,Chicago,198,0.00
54.244.61.204,2082,80,false,ORD,North America,US,Chicago,196,0.00
52.24.206.112,2053,80,false,ORD,North America,US,Chicago,198,0.00
52.24.206.112,443,80,false,ORD,North America,US,Chicago,204,0.00
52.24.206.112,2052,80,false,ORD,North America,US,Chicago,203,0.00
35.85.50.210,443,80,false,ORD,North America,US,Chicago,198,0.00
54.188.235.2,8443,80,false,ORD,North America,US,Chicago,202,0.00
54.188.235.2,443,80,false,ORD,North America,US,Chicago,197,0.00
34.221.218.24,2095,80,false,ORD,North America,US,Chicago,195,0.00
34.219.51.192,443,80,false,ORD,North America,US,Chicago,198,0.00
54.188.235.2,2053,80,false,ORD,North America,US,Chicago,201,0.00
35.85.50.210,80,80,false,ORD,North America,US,Chicago,206,0.00
52.24.206.112,8443,80,false,ORD,North America,US,Chicago,196,0.00
44.243.221.214,8443,80,false,ORD,North America,US,Chicago,191,0.00
35.85.50.210,2082,80,false,ORD,North America,US,Chicago,206,0.00
34.215.25.25,8443,80,false,ORD,North America,US,Chicago,204,0.00
52.24.206.112,2087,80,false,ORD,North America,US,Chicago,202,0.00
52.24.206.112,2096,80,false,ORD,North America,US,Chicago,204,0.00
35.85.50.210,8443,80,false,ORD,North America,US,Chicago,201,0.00
35.94.43.39,2082,80,false,ORD,North America,US,Chicago,198,0.00
34.215.25.25,8880,80,false,ORD,North America,US,Chicago,197,0.00
52.27.33.232,2096,80,false,ORD,North America,US,Chicago,198,0.00
52.27.33.232,2087,80,false,ORD,North America,US,Chicago,195,0.00
35.85.50.210,2096,80,false,ORD,North America,US,Chicago,197,0.00
35.86.122.221,2053,80,false,ORD,North America,US,Chicago,194,0.00
35.85.50.210,2087,80,false,ORD,North America,US,Chicago,198,0.00
44.243.221.214,2086,80,false,ORD,North America,US,Chicago,195,0.00
35.85.50.210,2086,80,false,ORD,North America,US,Chicago,202,0.00
35.88.241.242,8880,80,false,ORD,North America,US,Chicago,196,0.00
54.202.59.123,2086,80,false,ORD,North America,US,Chicago,199,0.00
54.188.235.2,2086,80,false,ORD,North America,US,Chicago,197,0.00
35.93.120.62,2095,80,false,ORD,North America,US,Chicago,199,0.00
35.85.50.210,2052,80,false,ORD,North America,US,Chicago,202,0.00
54.188.235.2,2096,80,false,ORD,North America,US,Chicago,200,0.00
35.94.43.39,2053,80,false,ORD,North America,US,Chicago,198,0.00
34.222.124.69,8880,80,false,ORD,North America,US,Chicago,196,0.00
35.86.122.221,2096,80,false,ORD,North America,US,Chicago,199,0.00
34.219.51.192,8443,80,false,ORD,North America,US,Chicago,200,0.00
54.202.59.123,2082,80,false,ORD,North America,US,Chicago,199,0.00
35.85.50.210,2095,80,false,ORD,North America,US,Chicago,197,0.00
34.221.218.24,2053,80,false,ORD,North America,US,Chicago,192,0.00
54.244.61.204,2096,80,false,ORD,North America,US,Chicago,199,0.00
54.188.235.2,2087,80,false,ORD,North America,US,Chicago,204,0.00
54.188.235.2,2052,80,false,ORD,North America,US,Chicago,195,0.00
54.244.61.204,2095,80,false,ORD,North America,US,Chicago,205,0.00
54.244.61.204,2053,80,false,ORD,North America,US,Chicago,191,0.00
54.188.235.2,2083,80,false,ORD,North America,US,Chicago,209,0.00
54.244.61.204,8443,80,false,ORD,North America,US,Chicago,205,0.00
54.244.61.204,80,80,false,ORD,North America,US,Chicago,210,0.00
