IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.209.166.73,80,false,ICN,Asia Pacific,Seoul,254 ms,16818 kB/s
3.68.31.54,80,false,FRA,Europe,Frankfurt,158 ms,9462 kB/s
18.156.209.101,80,false,FRA,Europe,Frankfurt,166 ms,8945 kB/s
18.159.105.97,80,false,FRA,Europe,Frankfurt,163 ms,8917 kB/s
18.185.254.189,80,false,FRA,Europe,Frankfurt,172 ms,7709 kB/s
51.17.192.69,80,false,MXP,Europe,Milan,241 ms,6716 kB/s
3.141.95.66,80,false,CMH,North America,Columbus,232 ms,4638 kB/s
3.66.115.225,80,false,FRA,Europe,Frankfurt,172 ms,2651 kB/s
51.17.192.69,443,false,MXP,Europe,Milan,225 ms,2492 kB/s
52.53.226.228,80,false,SJC,North America,San Jose,174 ms,1603 kB/s
18.178.250.71,80,false,NRT,Asia Pacific,Tokyo,82 ms,157 kB/s
54.150.195.218,80,false,NRT,Asia Pacific,Tokyo,101 ms,134 kB/s
3.111.137.178,80,false,BOM,Asia Pacific,Mumbai,287 ms,0 kB/s
204.110.221.121,80,false,SEA,North America,Seattle,198 ms,0 kB/s
3.101.110.90,80,false,SJC,North America,San Jose,171 ms,0 kB/s
204.110.221.138,80,false,SEA,North America,Seattle,203 ms,0 kB/s
204.110.223.229,80,false,CMH,North America,Columbus,237 ms,0 kB/s
204.110.221.28,80,false,SEA,North America,Seattle,224 ms,0 kB/s
204.110.223.199,80,false,CMH,North America,Columbus,231 ms,0 kB/s
204.110.220.59,80,false,SEA,North America,Seattle,227 ms,0 kB/s
204.110.220.18,80,false,SEA,North America,Seattle,228 ms,0 kB/s
204.110.220.230,80,false,SEA,North America,Seattle,214 ms,0 kB/s
35.167.93.200,443,false,SEA,North America,Seattle,204 ms,0 kB/s
