IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.209.166.73,80,false,ICN,Asia Pacific,Seoul,248 ms,83392 kB/s
3.68.31.54,80,false,FRA,Europe,Frankfurt,174 ms,10798 kB/s
18.185.254.189,80,false,FRA,Europe,Frankfurt,172 ms,9691 kB/s
52.53.226.228,80,false,SJC,North America,San Jose,169 ms,8799 kB/s
13.39.231.83,443,false,CDG,Europe,Paris,183 ms,8451 kB/s
18.156.209.101,80,false,FRA,Europe,Frankfurt,173 ms,6752 kB/s
18.159.105.97,80,false,FRA,Europe,Frankfurt,177 ms,3161 kB/s
3.66.115.225,80,false,FRA,Europe,Frankfurt,176 ms,1677 kB/s
51.17.192.69,443,false,MXP,Europe,Milan,224 ms,1489 kB/s
3.141.95.66,80,false,CMH,North America,Columbus,229 ms,736 kB/s
51.17.192.69,80,false,MXP,Europe,Milan,231 ms,529 kB/s
18.178.250.71,80,false,NRT,Asia Pacific,Tokyo,81 ms,162 kB/s
54.150.195.218,80,false,NRT,Asia Pacific,Tokyo,79 ms,134 kB/s
35.167.93.200,443,false,SEA,North America,Seattle,218 ms,0 kB/s
3.101.110.90,80,false,SJC,North America,San Jose,183 ms,0 kB/s
204.110.221.121,80,false,SEA,North America,Seattle,200 ms,0 kB/s
204.110.221.112,80,false,SEA,North America,Seattle,202 ms,0 kB/s
204.110.220.34,80,false,SEA,North America,Seattle,210 ms,0 kB/s
204.110.221.40,80,false,SEA,North America,Seattle,207 ms,0 kB/s
204.110.220.18,80,false,SEA,North America,Seattle,197 ms,0 kB/s
