IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.163.45,443,443,true,FRA,Europe,Frankfurt,313,9.07
150.230.147.9,443,443,true,FRA,Europe,Frankfurt,432,9.06
141.148.225.106,443,443,true,FRA,Europe,Frankfurt,336,9.06
89.168.119.187,443,443,true,FRA,Europe,Frankfurt,282,9.06
141.148.233.160,443,443,true,FRA,Europe,Frankfurt,248,9.05
130.162.174.113,443,443,true,FRA,Europe,Frankfurt,275,9.05
138.2.153.254,443,443,true,FRA,Europe,Frankfurt,335,9.04
79.72.93.232,443,443,true,FRA,Europe,Frankfurt,301,8.99
152.70.52.68,443,443,true,FRA,Europe,Frankfurt,374,8.99
158.101.223.67,443,443,true,FRA,Europe,Frankfurt,285,8.98
141.144.194.175,443,443,true,FRA,Europe,Frankfurt,354,8.98
79.72.85.86,443,443,true,FRA,Europe,Frankfurt,342,8.96
89.168.88.10,443,443,true,FRA,Europe,Frankfurt,290,8.95
158.101.215.32,443,443,true,FRA,Europe,Frankfurt,248,8.95
141.144.237.160,443,443,true,FRA,Europe,Frankfurt,211,8.94
158.178.152.195,443,443,true,FRA,Europe,Frankfurt,243,8.92
132.145.9.195,443,443,true,FRA,Europe,Frankfurt,307,8.91
89.168.127.171,443,443,true,FRA,Europe,Frankfurt,270,8.91
193.123.56.116,443,443,true,FRA,Europe,Frankfurt,601,8.88
152.70.50.241,443,443,true,FRA,Europe,Frankfurt,517,8.87
158.101.211.57,443,443,true,FRA,Europe,Frankfurt,273,8.87
130.162.165.239,443,443,true,FRA,Europe,Frankfurt,320,8.87
150.230.34.116,443,443,true,SJC,North America,San Jose,298,8.85
138.2.131.2,443,443,true,FRA,Europe,Frankfurt,377,8.84
141.148.245.167,443,443,true,FRA,Europe,Frankfurt,307,8.84
84.235.172.74,443,443,true,FRA,Europe,Frankfurt,385,8.82
79.72.66.15,443,443,true,FRA,Europe,Frankfurt,247,8.80
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,335,8.76
132.145.15.202,443,443,true,FRA,Europe,Frankfurt,370,8.75
141.144.247.181,443,443,true,FRA,Europe,Frankfurt,292,8.74
144.21.40.120,443,443,true,FRA,Europe,Frankfurt,344,8.73
141.147.103.241,443,443,true,FRA,Europe,Frankfurt,199,8.73
158.178.148.123,443,443,true,FRA,Europe,Frankfurt,455,8.73
141.147.12.20,443,443,true,FRA,Europe,Frankfurt,388,8.72
89.168.91.90,443,443,true,FRA,Europe,Frankfurt,348,8.72
84.8.154.188,443,443,true,FRA,Europe,Frankfurt,344,8.70
141.144.193.104,443,443,true,FRA,Europe,Frankfurt,302,8.69
193.123.60.11,443,443,true,FRA,Europe,Frankfurt,581,8.67
84.235.163.17,443,443,true,FRA,Europe,Frankfurt,287,8.66
89.168.77.201,443,443,true,FRA,Europe,Frankfurt,307,8.66
193.123.33.78,443,443,true,FRA,Europe,Frankfurt,318,8.62
138.2.153.146,443,443,true,FRA,Europe,Frankfurt,376,8.61
138.2.134.189,443,443,true,FRA,Europe,Frankfurt,297,8.61
144.21.34.54,443,443,true,FRA,Europe,Frankfurt,374,8.55
130.162.209.173,443,443,true,FRA,Europe,Frankfurt,357,8.53
141.147.112.213,443,443,true,FRA,Europe,Frankfurt,277,8.53
130.162.55.141,443,443,true,FRA,Europe,Frankfurt,196,8.51
89.168.107.162,443,443,true,FRA,Europe,Frankfurt,234,8.45
130.162.171.75,443,443,true,FRA,Europe,Frankfurt,253,8.41
144.24.165.176,8443,443,true,FRA,Europe,Frankfurt,356,8.40
79.72.65.55,443,443,true,FRA,Europe,Frankfurt,214,8.40
79.72.76.0,443,443,true,FRA,Europe,Frankfurt,233,8.39
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,447,8.36
150.230.125.253,443,443,true,FRA,Europe,Frankfurt,267,8.35
130.162.243.62,443,443,true,FRA,Europe,Frankfurt,463,8.34
138.2.156.236,443,443,true,FRA,Europe,Frankfurt,369,8.34
141.144.238.49,443,443,true,FRA,Europe,Frankfurt,307,8.32
141.147.11.204,443,443,true,FRA,Europe,Frankfurt,362,8.31
130.162.190.166,443,443,true,FRA,Europe,Frankfurt,460,8.31
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,277,8.30
84.8.153.199,443,443,true,FRA,Europe,Frankfurt,351,8.30
141.147.3.8,443,443,true,FRA,Europe,Frankfurt,289,8.28
141.147.95.5,443,443,true,FRA,Europe,Frankfurt,316,8.28
158.178.152.1,443,443,true,FRA,Europe,Frankfurt,430,8.23
129.159.255.130,443,443,true,FRA,Europe,Frankfurt,207,8.23
144.24.175.62,443,443,true,FRA,Europe,Frankfurt,256,8.21
141.147.62.123,443,443,true,FRA,Europe,Frankfurt,288,8.19
141.144.200.228,443,443,true,FRA,Europe,Frankfurt,217,8.17
141.144.203.85,443,443,true,FRA,Europe,Frankfurt,276,8.16
144.21.32.33,443,443,true,FRA,Europe,Frankfurt,268,8.16
132.145.234.232,443,443,true,FRA,Europe,Frankfurt,194,8.14
141.147.107.232,443,443,true,FRA,Europe,Frankfurt,371,8.11
141.147.73.230,443,443,true,FRA,Europe,Frankfurt,255,8.10
158.178.156.116,443,443,true,FRA,Europe,Frankfurt,378,8.07
89.168.85.211,443,443,true,FRA,Europe,Frankfurt,210,7.97
130.162.47.239,443,443,true,LUX,Europe,Luxembourg City,195,7.97
141.147.105.39,443,443,true,FRA,Europe,Frankfurt,225,7.95
141.147.90.6,443,443,true,FRA,Europe,Frankfurt,262,7.93
193.122.56.178,443,443,true,FRA,Europe,Frankfurt,471,7.91
141.147.114.191,443,443,true,FRA,Europe,Frankfurt,326,7.88
158.101.209.158,443,443,true,FRA,Europe,Frankfurt,247,7.85
130.162.57.0,443,443,true,FRA,Europe,Frankfurt,360,7.83
68.233.127.163,8443,443,true,YUL,North America,Montréal,325,7.83
164.152.26.70,2052,443,true,ORD,North America,Chicago,215,7.83
