IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.47.61,443,443,true,FRA,Europe,DE,Frankfurt,264,8.74
79.76.104.11,443,443,true,FRA,Europe,DE,Frankfurt,330,8.70
141.147.45.209,443,443,true,FRA,Europe,DE,Frankfurt,304,8.69
141.147.47.130,443,443,true,FRA,Europe,DE,Frankfurt,291,8.68
143.47.188.243,443,443,true,FRA,Europe,DE,Frankfurt,263,8.68
158.101.217.4,443,443,true,FRA,Europe,DE,Frankfurt,273,8.67
84.235.175.21,443,443,true,FRA,Europe,DE,Frankfurt,319,8.66
192.9.137.193,8443,443,true,SJC,North America,US,San Jose,203,8.61
141.147.87.82,443,443,true,FRA,Europe,DE,Frankfurt,290,8.59
130.162.184.21,443,443,true,FRA,Europe,DE,Frankfurt,275,8.58
141.147.64.100,443,443,true,FRA,Europe,DE,Frankfurt,311,8.55
158.180.21.226,443,443,true,FRA,Europe,DE,Frankfurt,288,8.53
68.233.127.163,8443,443,true,YUL,North America,CA,Montréal,373,8.53
158.101.203.138,443,443,true,FRA,Europe,DE,Frankfurt,282,8.52
141.148.237.138,443,443,true,FRA,Europe,DE,Frankfurt,250,8.51
193.123.60.92,443,443,true,FRA,Europe,DE,Frankfurt,242,8.46
141.147.53.123,443,443,true,FRA,Europe,DE,Frankfurt,284,8.46
141.144.248.130,443,443,true,CDG,Europe,FR,Paris,292,8.44
141.144.227.143,443,443,true,CDG,Europe,FR,Paris,320,8.42
129.146.133.33,443,443,true,LAX,North America,US,Los Angeles,294,8.41
130.162.170.82,443,443,true,FRA,Europe,DE,Frankfurt,226,8.40
152.70.62.188,443,443,true,FRA,Europe,DE,Frankfurt,430,8.39
141.147.11.75,443,443,true,FRA,Europe,DE,Frankfurt,306,8.38
130.162.179.222,443,443,true,FRA,Europe,DE,Frankfurt,196,8.37
79.72.86.195,443,443,true,FRA,Europe,DE,Frankfurt,318,8.36
138.2.169.242,443,443,true,FRA,Europe,DE,Frankfurt,299,8.35
141.148.237.225,443,443,true,FRA,Europe,DE,Frankfurt,386,8.35
79.72.85.169,443,443,true,FRA,Europe,DE,Frankfurt,266,8.32
84.235.166.70,443,443,true,FRA,Europe,DE,Frankfurt,218,8.28
193.123.34.162,443,443,true,FRA,Europe,DE,Frankfurt,388,8.22
