IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.218.133,443,443,true,FRA,Europe,DE,Frankfurt,334,8.26
141.144.197.119,443,443,true,FRA,Europe,DE,Frankfurt,287,8.25
140.238.214.247,443,443,true,ZRH,Europe,CH,Zurich,260,8.23
152.70.21.170,443,443,true,FRA,Europe,DE,Frankfurt,168,8.22
84.235.164.60,443,443,true,FRA,Europe,DE,Frankfurt,320,8.22
141.147.57.230,443,443,true,FRA,Europe,DE,Frankfurt,394,8.21
130.162.249.207,443,443,true,FRA,Europe,DE,Frankfurt,294,8.21
150.230.201.252,443,443,true,LAX,North America,US,Los Angeles,271,8.21
144.21.39.167,443,443,true,FRA,Europe,DE,Frankfurt,228,8.18
138.2.182.112,443,443,true,FRA,Europe,DE,Frankfurt,332,8.17
79.72.74.86,443,443,true,FRA,Europe,DE,Frankfurt,304,8.17
158.180.59.165,443,443,true,FRA,Europe,DE,Frankfurt,228,8.16
150.230.144.143,443,443,true,FRA,Europe,DE,Frankfurt,220,8.16
138.2.150.218,443,443,true,FRA,Europe,DE,Frankfurt,290,8.15
140.238.22.151,443,443,true,LAX,North America,US,Los Angeles,222,8.15
152.70.57.69,443,443,true,FRA,Europe,DE,Frankfurt,267,8.13
84.235.171.40,443,443,true,FRA,Europe,DE,Frankfurt,318,8.13
130.61.203.115,2053,443,true,FRA,Europe,DE,Frankfurt,243,8.12
193.122.51.78,443,443,true,FRA,Europe,DE,Frankfurt,314,8.10
141.147.49.88,443,443,true,FRA,Europe,DE,Frankfurt,420,8.10
79.76.102.175,443,443,true,FRA,Europe,DE,Frankfurt,230,8.10
138.2.141.12,443,443,true,FRA,Europe,DE,Frankfurt,307,8.09
130.162.220.50,443,443,true,FRA,Europe,DE,Frankfurt,270,8.09
152.70.42.147,443,443,true,FRA,Europe,DE,Frankfurt,254,8.09
141.144.192.207,443,443,true,FRA,Europe,DE,Frankfurt,360,8.08
84.235.165.62,443,443,true,FRA,Europe,DE,Frankfurt,263,8.05
84.235.163.8,443,443,true,FRA,Europe,DE,Frankfurt,359,8.05
132.226.202.158,443,443,true,FRA,Europe,DE,Frankfurt,160,8.04
130.162.235.194,443,443,true,FRA,Europe,DE,Frankfurt,267,8.04
64.110.75.145,443,443,true,ICN,Asia Pacific,KR,Seoul,374,8.04
150.230.126.48,443,443,true,FRA,Europe,DE,Frankfurt,308,8.04
132.226.206.90,443,443,true,FRA,Europe,DE,Frankfurt,275,8.03
141.147.70.237,443,443,true,FRA,Europe,DE,Frankfurt,319,8.02
79.76.99.247,443,443,true,FRA,Europe,DE,Frankfurt,271,8.01
79.72.91.94,443,443,true,FRA,Europe,DE,Frankfurt,257,7.99
138.2.138.209,443,443,true,FRA,Europe,DE,Frankfurt,316,7.98
152.67.159.28,443,443,true,FRA,Europe,DE,Frankfurt,462,7.98
141.144.206.239,443,443,true,FRA,Europe,DE,Frankfurt,331,7.96
141.148.227.226,443,443,true,FRA,Europe,DE,Frankfurt,270,7.96
141.147.52.221,443,443,true,FRA,Europe,DE,Frankfurt,396,7.95
141.144.195.233,443,443,true,FRA,Europe,DE,Frankfurt,329,7.94
141.147.85.67,443,443,true,FRA,Europe,DE,Frankfurt,170,7.94
141.147.55.81,443,443,true,FRA,Europe,DE,Frankfurt,361,7.93
141.147.98.76,443,443,true,FRA,Europe,DE,Frankfurt,185,7.93
141.148.240.119,443,443,true,FRA,Europe,DE,Frankfurt,248,7.93
130.162.169.177,443,443,true,FRA,Europe,DE,Frankfurt,374,7.93
141.147.64.185,443,443,true,FRA,Europe,DE,Frankfurt,383,7.90
141.144.205.173,443,443,true,FRA,Europe,DE,Frankfurt,297,7.90
138.3.212.56,443,443,true,LAX,North America,US,Los Angeles,276,7.89
138.2.146.38,443,443,true,FRA,Europe,DE,Frankfurt,269,7.88
141.147.89.66,443,443,true,FRA,Europe,DE,Frankfurt,167,7.88
158.180.53.203,443,443,true,FRA,Europe,DE,Frankfurt,320,7.87
150.230.22.37,443,443,true,FRA,Europe,DE,Frankfurt,249,7.86
