IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
99.83.209.185,443,true,IAD,North America,Ashburn,107 ms,12315 kB/s
3.101.110.90,80,true,SJC,North America,San Jose,180 ms,7889 kB/s
204.110.221.170,80,true,SEA,North America,Seattle,203 ms,6917 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,213 ms,5776 kB/s
13.40.128.14,8443,true,LHR,Europe,London,189 ms,5712 kB/s
204.110.220.79,80,true,SEA,North America,Seattle,221 ms,5650 kB/s
13.53.132.96,8080,true,ARN,Europe,Stockholm,199 ms,5496 kB/s
13.53.54.176,8080,true,ARN,Europe,Stockholm,195 ms,5367 kB/s
204.110.221.36,80,true,SEA,North America,Seattle,225 ms,5334 kB/s
13.49.166.245,443,true,ARN,Europe,Stockholm,194 ms,5122 kB/s
13.51.55.184,2053,true,ARN,Europe,Stockholm,256 ms,5055 kB/s
204.110.221.35,80,true,SEA,North America,Seattle,217 ms,4812 kB/s
13.53.81.150,2083,true,ARN,Europe,Stockholm,190 ms,4786 kB/s
13.50.173.22,8443,true,ARN,Europe,Stockholm,184 ms,4730 kB/s
204.110.221.83,80,true,SEA,North America,Seattle,201 ms,4486 kB/s
204.110.223.180,80,true,CMH,North America,Columbus,251 ms,3957 kB/s
15.156.203.151,8443,true,YUL,North America,Montréal,255 ms,3801 kB/s
13.41.76.64,8080,true,LHR,Europe,London,198 ms,2849 kB/s
13.53.51.77,8080,true,ARN,Europe,Stockholm,202 ms,2455 kB/s
204.110.223.255,80,true,ORD,North America,Chicago,254 ms,2351 kB/s
204.110.223.6,80,true,ORD,North America,Chicago,239 ms,1483 kB/s
18.135.188.86,443,true,LHR,Europe,London,188 ms,1145 kB/s
204.110.220.135,80,true,SEA,North America,Seattle,200 ms,1024 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,306 ms,489 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,210 ms,243 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,222 ms,102 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,248 ms,89 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,229 ms,83 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,262 ms,80 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,251 ms,73 kB/s
15.156.17.176,8443,true,YUL,North America,Montréal,246 ms,0 kB/s
18.189.139.61,443,true,ORD,North America,Chicago,237 ms,0 kB/s
13.125.218.78,443,true,ICN,Asia Pacific,Seoul,210 ms,0 kB/s
