IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.212.148,443,443,true,SIN,Asia Pacific,SG,Singapore,180,1.91
8.219.164.199,443,443,true,SIN,Asia Pacific,SG,Singapore,251,1.81
47.245.123.26,443,443,true,SIN,Asia Pacific,SG,Singapore,232,1.78
8.222.202.209,443,443,true,SIN,Asia Pacific,SG,Singapore,205,1.76
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,223,1.76
47.57.141.93,443,443,true,HKG,Asia Pacific,HK,Hong Kong,258,1.75
8.222.230.211,443,443,true,SIN,Asia Pacific,SG,Singapore,219,1.72
8.219.199.69,443,443,true,SIN,Asia Pacific,SG,Singapore,246,1.67
8.222.205.159,443,443,true,SIN,Asia Pacific,SG,Singapore,236,1.66
8.219.132.29,443,443,true,SIN,Asia Pacific,SG,Singapore,212,1.65
8.213.197.132,8443,443,true,SIN,Asia Pacific,SG,Singapore,144,1.63
8.222.241.151,443,443,true,SIN,Asia Pacific,SG,Singapore,185,1.55
8.222.149.151,443,443,true,SIN,Asia Pacific,SG,Singapore,209,1.53
8.222.220.252,443,443,true,SIN,Asia Pacific,SG,Singapore,233,1.51
8.219.145.62,443,443,true,SIN,Asia Pacific,SG,Singapore,329,1.47
8.222.219.249,443,443,true,SIN,Asia Pacific,SG,Singapore,291,1.45
8.222.205.159,443,443,true,SIN,Asia Pacific,SG,Singapore,223,1.43
8.219.126.83,443,443,true,SIN,Asia Pacific,SG,Singapore,210,1.41
8.222.218.124,443,443,true,SIN,Asia Pacific,SG,Singapore,234,1.38
8.222.230.150,443,443,true,SIN,Asia Pacific,SG,Singapore,218,1.37
8.222.189.196,443,443,true,SIN,Asia Pacific,SG,Singapore,184,1.33
8.222.196.169,443,443,true,SIN,Asia Pacific,SG,Singapore,188,1.32
8.222.197.185,443,443,true,SIN,Asia Pacific,SG,Singapore,318,1.30
8.222.248.109,443,443,true,SIN,Asia Pacific,SG,Singapore,277,1.27
8.222.149.151,443,443,true,SIN,Asia Pacific,SG,Singapore,141,1.25
8.222.244.142,443,443,true,SIN,Asia Pacific,SG,Singapore,359,1.23
8.222.186.106,443,443,true,SIN,Asia Pacific,SG,Singapore,241,1.11
8.219.111.116,443,443,true,SIN,Asia Pacific,SG,Singapore,287,1.08
8.222.255.79,443,443,true,SIN,Asia Pacific,SG,Singapore,239,1.07
8.222.200.181,443,443,true,SIN,Asia Pacific,SG,Singapore,148,0.98
47.57.13.107,443,443,true,HKG,Asia Pacific,HK,Hong Kong,252,0.90
8.222.196.169,443,443,true,SIN,Asia Pacific,SG,Singapore,335,0.89
8.222.254.122,443,443,true,SIN,Asia Pacific,SG,Singapore,184,0.88
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,316,0.87
8.222.212.148,443,443,true,SIN,Asia Pacific,SG,Singapore,62,0.80
47.89.244.253,443,443,true,SJC,North America,US,San Jose,230,0.66
8.222.226.253,443,443,true,SIN,Asia Pacific,SG,Singapore,233,0.61
8.222.226.253,443,443,true,SIN,Asia Pacific,SG,Singapore,102,0.60
8.222.222.233,443,443,true,SIN,Asia Pacific,SG,Singapore,260,0.54
8.222.200.181,443,443,true,SIN,Asia Pacific,SG,Singapore,234,0.54
8.222.211.129,443,443,true,SIN,Asia Pacific,SG,Singapore,223,0.53
47.57.13.107,443,443,true,HKG,Asia Pacific,HK,Hong Kong,230,0.50
8.222.220.185,443,443,true,SIN,Asia Pacific,SG,Singapore,262,0.50
8.222.253.9,443,443,true,SIN,Asia Pacific,SG,Singapore,244,0.48
149.129.8.215,443,443,true,SJC,North America,US,San Jose,326,0.40
47.57.245.232,443,443,true,SJC,North America,US,San Jose,240,0.32
149.129.250.187,443,443,true,SIN,Asia Pacific,SG,Singapore,170,0.29
149.129.250.187,443,443,true,SIN,Asia Pacific,SG,Singapore,229,0.24
47.57.245.232,443,443,true,SJC,North America,US,San Jose,233,0.16
8.222.165.104,443,443,true,SIN,Asia Pacific,SG,Singapore,257,0.15
47.91.18.127,443,443,true,NRT,Asia Pacific,JP,Tokyo,271,0.14
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,254,0.13
47.57.14.118,443,443,true,SJC,North America,US,San Jose,215,0.13
8.222.156.157,443,443,true,SIN,Asia Pacific,SG,Singapore,193,0.12
47.254.65.110,443,443,true,SJC,North America,US,San Jose,315,0.12
47.254.65.110,443,443,true,SJC,North America,US,San Jose,210,0.11
47.57.14.118,443,443,true,SJC,North America,US,San Jose,271,0.09
8.219.1.25,8443,443,true,SIN,Asia Pacific,SG,Singapore,205,0.08
149.129.8.215,443,443,true,SJC,North America,US,San Jose,323,0.07
8.222.248.109,443,443,true,SIN,Asia Pacific,SG,Singapore,191,0.07
8.218.148.106,443,443,true,HKG,Asia Pacific,HK,Hong Kong,256,0.06
8.222.156.157,443,443,true,SIN,Asia Pacific,SG,Singapore,252,0.06
47.80.3.26,443,443,true,ICN,Asia Pacific,KR,Seoul,207,0.05
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,215,0.04
47.243.236.86,443,443,true,HKG,Asia Pacific,HK,Hong Kong,267,0.01
47.91.18.127,443,443,true,NRT,Asia Pacific,JP,Tokyo,142,0.00
47.57.245.232,80,80,false,SJC,North America,US,San Jose,45,0.00
8.212.41.98,80,80,false,SIN,Asia Pacific,SG,Singapore,90,0.00
8.212.41.98,8080,8080,false,SJC,North America,US,San Jose,95,0.00
47.74.155.26,80,80,false,SIN,Asia Pacific,SG,Singapore,99,0.00
8.219.77.141,80,80,false,SJC,North America,US,San Jose,107,0.00
8.210.252.63,80,80,false,HKG,Asia Pacific,HK,Hong Kong,108,0.00
47.57.13.107,80,80,false,HKG,Asia Pacific,HK,Hong Kong,109,0.00
