IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,544,9.46
150.230.42.80,443,443,true,SJC,North America,San Jose,244,9.45
141.147.115.219,443,443,true,FRA,Europe,Frankfurt,243,9.44
79.72.93.19,443,443,true,FRA,Europe,Frankfurt,273,9.37
143.47.185.119,443,443,true,FRA,Europe,Frankfurt,313,9.34
141.147.100.219,443,443,true,FRA,Europe,Frankfurt,349,9.32
130.162.177.222,443,443,true,FRA,Europe,Frankfurt,237,9.20
141.144.205.8,443,443,true,FRA,Europe,Frankfurt,244,9.13
143.47.225.125,443,443,true,FRA,Europe,Frankfurt,316,9.12
132.226.135.116,443,443,true,FRA,Europe,Frankfurt,220,9.10
79.72.81.50,443,443,true,FRA,Europe,Frankfurt,290,9.01
141.144.198.66,443,443,true,FRA,Europe,Frankfurt,262,9.01
130.162.47.28,443,443,true,FRA,Europe,Frankfurt,214,8.96
144.24.186.186,443,443,true,FRA,Europe,Frankfurt,291,8.90
143.47.229.151,443,443,true,FRA,Europe,Frankfurt,257,8.84
129.159.254.228,443,443,true,FRA,Europe,Frankfurt,326,8.80
143.47.186.73,443,443,true,FRA,Europe,Frankfurt,328,8.80
152.70.63.54,443,443,true,FRA,Europe,Frankfurt,427,8.77
192.9.137.193,8443,443,true,SJC,North America,San Jose,241,8.76
130.162.186.132,443,443,true,FRA,Europe,Frankfurt,217,8.75
141.147.64.64,443,443,true,FRA,Europe,Frankfurt,259,8.74
141.148.243.208,443,443,true,FRA,Europe,Frankfurt,266,8.74
132.145.12.234,443,443,true,FRA,Europe,Frankfurt,293,8.73
129.159.193.222,443,443,true,FRA,Europe,Frankfurt,384,8.71
130.162.163.77,443,443,true,FRA,Europe,Frankfurt,238,8.69
130.162.168.16,443,443,true,FRA,Europe,Frankfurt,409,8.67
143.47.243.144,8443,443,true,LHR,Europe,London,291,8.56
141.147.21.167,443,443,true,FRA,Europe,Frankfurt,304,8.49
84.8.146.174,443,443,true,FRA,Europe,Frankfurt,386,8.49
132.145.54.84,2053,443,true,LHR,Europe,London,209,8.42
141.144.230.119,443,443,true,FRA,Europe,Frankfurt,237,8.31
143.47.182.95,443,443,true,FRA,Europe,Frankfurt,173,8.20
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,492,8.12
143.47.189.12,443,443,true,FRA,Europe,Frankfurt,450,8.09
164.152.26.70,2052,443,true,ORD,North America,Chicago,244,8.07
192.9.158.188,443,443,true,SJC,North America,San Jose,462,8.07
141.147.65.222,443,443,true,FRA,Europe,Frankfurt,225,8.00
141.147.53.158,443,443,true,FRA,Europe,Frankfurt,272,7.99
132.145.94.80,443,443,true,ICN,Asia Pacific,Seoul,158,7.96
144.21.38.161,443,443,true,FRA,Europe,Frankfurt,347,7.94
152.67.128.199,443,443,true,FRA,Europe,Frankfurt,192,7.89
138.2.146.38,443,443,true,FRA,Europe,Frankfurt,313,7.77
152.67.233.64,443,443,true,SJC,North America,San Jose,266,7.67
138.2.85.23,8080,443,true,SIN,Asia Pacific,Singapore,195,7.63
129.146.111.62,443,443,true,LAX,North America,Los Angeles,289,7.52
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,164,7.47
141.147.72.86,443,443,true,FRA,Europe,Frankfurt,231,7.40
130.61.83.174,8443,443,true,FRA,Europe,Frankfurt,246,7.37
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,331,7.30
130.162.215.83,443,443,true,FRA,Europe,Frankfurt,295,7.00
164.152.26.70,2086,443,true,ORD,North America,Chicago,331,6.99
143.47.243.144,2053,443,true,LHR,Europe,London,280,6.85
79.76.102.7,443,443,true,FRA,Europe,Frankfurt,280,6.84
89.168.112.118,443,443,true,FRA,Europe,Frankfurt,182,6.80
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,276,6.78
143.47.226.50,443,443,true,FRA,Europe,Frankfurt,255,6.74
132.145.54.84,8443,443,true,LHR,Europe,London,221,6.64
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,179,6.58
129.80.188.174,2096,443,true,IAD,North America,Ashburn,278,6.36
152.67.249.123,443,443,true,SJC,North America,San Jose,356,6.31
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,312,6.21
168.138.212.80,443,443,true,NRT,Asia Pacific,Tokyo,351,5.94
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,166,5.92
129.154.46.115,443,443,true,HYD,Asia Pacific,Hyderabad,74,5.90
140.238.40.67,443,443,true,NRT,Asia Pacific,Tokyo,187,5.83
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,230,5.81
129.159.192.78,8443,443,true,FRA,Europe,Frankfurt,383,5.80
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,509,5.77
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,254,5.76
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,272,5.66
144.24.243.207,443,443,true,ZRH,Europe,Zurich,401,5.64
138.2.128.30,443,443,true,FRA,Europe,Frankfurt,264,5.64
168.138.162.187,443,443,true,SIN,Asia Pacific,Singapore,217,5.62
146.56.118.213,443,443,true,ICN,Asia Pacific,Seoul,309,5.57
129.154.59.99,443,443,true,ICN,Asia Pacific,Seoul,340,5.41
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,321,5.40
89.168.18.74,443,443,true,MXP,Europe,Milan,156,5.39
217.142.243.226,443,443,true,KIX,Asia Pacific,Osaka,139,5.34
89.168.43.28,443,443,true,CDG,Europe,Paris,345,5.28
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,149,5.23
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,202,5.21
146.56.46.84,443,443,true,ICN,Asia Pacific,Seoul,259,5.21
217.142.149.74,2053,443,true,ICN,Asia Pacific,Seoul,198,5.21
129.146.220.190,443,443,true,LAX,North America,Los Angeles,367,5.11
152.70.88.98,443,443,true,ICN,Asia Pacific,Seoul,346,4.91
192.9.180.162,443,443,true,SYD,Oceania,Sydney,283,4.84
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,324,4.81
158.101.199.249,8443,443,true,AMS,Europe,Amsterdam,326,4.80
152.67.78.184,443,443,true,ZRH,Europe,Zurich,169,4.78
152.67.65.201,443,443,true,ZRH,Europe,Zurich,148,4.74
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,276,4.72
144.24.90.107,443,443,true,ICN,Asia Pacific,Seoul,98,4.70
152.67.234.49,8443,443,true,SJC,North America,San Jose,408,4.69
141.147.85.167,8443,443,true,LHR,Europe,London,279,4.68
129.159.37.229,443,443,true,SJC,North America,San Jose,188,4.66
129.151.204.91,443,443,true,ARN,Europe,Stockholm,443,4.65
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,287,4.61
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,374,4.49
150.136.240.243,443,443,true,IAD,North America,Ashburn,313,4.43
158.179.203.23,443,443,true,FRA,Europe,Frankfurt,257,4.39
217.142.128.169,443,443,true,ICN,Asia Pacific,Seoul,236,4.34
141.148.242.113,8443,443,true,AMS,Europe,Amsterdam,300,4.34
