IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.68.31.54,80,false,FRA,Europe,Frankfurt,159 ms,12348 kB/s
18.185.254.189,80,false,FRA,Europe,Frankfurt,172 ms,10054 kB/s
18.156.209.101,80,false,FRA,Europe,Frankfurt,163 ms,9985 kB/s
52.53.226.228,80,false,SJC,North America,San Jose,170 ms,8350 kB/s
3.141.95.66,80,false,CMH,North America,Columbus,229 ms,5152 kB/s
51.17.192.69,443,false,MRS,Europe,Marseille,245 ms,3653 kB/s
18.159.105.97,80,false,FRA,Europe,Frankfurt,157 ms,3510 kB/s
3.66.115.225,80,false,FRA,Europe,Frankfurt,162 ms,2691 kB/s
13.39.231.83,443,false,CDG,Europe,Paris,177 ms,2291 kB/s
3.111.137.178,80,false,BOM,Asia Pacific,Mumbai,305 ms,1409 kB/s
3.6.136.68,80,false,BOM,Asia Pacific,Mumbai,358 ms,1379 kB/s
18.178.250.71,80,false,NRT,Asia Pacific,Tokyo,78 ms,166 kB/s
54.150.195.218,80,false,NRT,Asia Pacific,Tokyo,77 ms,139 kB/s
204.110.220.189,80,false,SEA,North America,Seattle,218 ms,0 kB/s
204.110.220.145,80,false,SEA,North America,Seattle,238 ms,0 kB/s
35.167.93.200,443,false,SEA,North America,Seattle,225 ms,0 kB/s
204.110.223.40,80,false,CMH,North America,Columbus,226 ms,0 kB/s
204.110.220.152,80,false,SEA,North America,Seattle,201 ms,0 kB/s
3.101.110.90,80,false,SJC,North America,San Jose,170 ms,0 kB/s
204.110.223.177,80,false,CMH,North America,Columbus,262 ms,0 kB/s
204.110.221.170,80,false,SEA,North America,Seattle,199 ms,0 kB/s
