IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.24.163.17,443,443,true,FRA,Europe,DE,Frankfurt,296,8.74
130.162.38.80,443,443,true,FRA,Europe,DE,Frankfurt,180,8.73
141.147.109.72,443,443,true,FRA,Europe,DE,Frankfurt,205,8.68
141.148.239.84,443,443,true,FRA,Europe,DE,Frankfurt,277,8.66
89.168.112.118,8443,443,true,FRA,Europe,DE,Frankfurt,244,8.65
141.147.92.141,443,443,true,FRA,Europe,DE,Frankfurt,295,8.57
144.24.170.163,443,443,true,FRA,Europe,DE,Frankfurt,223,8.56
143.47.226.35,443,443,true,CDG,Europe,FR,Paris,317,8.55
141.148.237.138,443,443,true,FRA,Europe,DE,Frankfurt,242,8.54
89.168.122.44,443,443,true,FRA,Europe,DE,Frankfurt,248,8.53
193.123.60.92,443,443,true,FRA,Europe,DE,Frankfurt,383,8.46
84.8.146.91,443,443,true,FRA,Europe,DE,Frankfurt,314,8.43
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,153,8.39
141.147.111.62,443,443,true,FRA,Europe,DE,Frankfurt,263,8.37
89.168.107.79,443,443,true,FRA,Europe,DE,Frankfurt,238,8.32
129.146.240.62,443,443,true,LAX,North America,US,Los Angeles,224,8.32
141.148.237.225,443,443,true,FRA,Europe,DE,Frankfurt,210,8.30
89.168.120.19,443,443,true,FRA,Europe,DE,Frankfurt,203,8.30
129.159.202.161,443,443,true,FRA,Europe,DE,Frankfurt,188,8.28
158.180.28.107,443,443,true,FRA,Europe,DE,Frankfurt,361,8.27
84.235.172.47,443,443,true,FRA,Europe,DE,Frankfurt,299,8.20
158.180.42.75,443,443,true,FRA,Europe,DE,Frankfurt,295,8.20
130.162.165.128,443,443,true,FRA,Europe,DE,Frankfurt,254,8.19
130.162.191.193,443,443,true,FRA,Europe,DE,Frankfurt,348,8.16
141.147.81.219,443,443,true,FRA,Europe,DE,Frankfurt,348,8.16
129.159.245.228,443,443,true,FRA,Europe,DE,Frankfurt,163,8.15
141.147.30.212,443,443,true,CDG,Europe,FR,Paris,260,8.12
141.147.11.75,443,443,true,FRA,Europe,DE,Frankfurt,247,8.07
141.147.86.10,443,443,true,FRA,Europe,DE,Frankfurt,373,8.04
84.8.150.115,443,443,true,FRA,Europe,DE,Frankfurt,298,8.02
79.72.86.195,443,443,true,FRA,Europe,DE,Frankfurt,209,7.99
130.162.217.129,443,443,true,FRA,Europe,DE,Frankfurt,286,7.98
79.72.71.33,443,443,true,FRA,Europe,DE,Frankfurt,261,7.96
79.72.80.1,443,443,true,FRA,Europe,DE,Frankfurt,264,7.96
68.233.127.163,8443,443,true,YYZ,North America,CA,Toronto,306,7.90
140.238.123.200,443,443,true,FRA,Europe,DE,Frankfurt,362,7.84
144.24.189.124,443,443,true,FRA,Europe,DE,Frankfurt,321,7.83
144.24.188.227,443,443,true,FRA,Europe,DE,Frankfurt,256,7.79
143.47.179.236,443,443,true,FRA,Europe,DE,Frankfurt,244,7.77
144.24.169.114,443,443,true,FRA,Europe,DE,Frankfurt,279,7.77
143.47.242.69,443,443,true,FRA,Europe,DE,Frankfurt,267,7.73
79.72.69.105,443,443,true,FRA,Europe,DE,Frankfurt,221,7.72
130.162.174.91,443,443,true,FRA,Europe,DE,Frankfurt,460,7.71
158.101.207.19,443,443,true,FRA,Europe,DE,Frankfurt,259,7.64
141.148.237.71,443,443,true,FRA,Europe,DE,Frankfurt,183,7.64
141.147.91.215,443,443,true,FRA,Europe,DE,Frankfurt,347,7.62
141.147.23.140,443,443,true,FRA,Europe,DE,Frankfurt,258,7.59
84.235.166.70,443,443,true,FRA,Europe,DE,Frankfurt,240,7.57
130.162.228.165,443,443,true,FRA,Europe,DE,Frankfurt,284,7.51
141.148.229.79,443,443,true,DUB,Europe,IE,Dublin,188,7.49
79.72.68.82,443,443,true,FRA,Europe,DE,Frankfurt,202,7.49
130.61.198.189,443,443,true,FRA,Europe,DE,Frankfurt,201,7.43
158.178.145.85,443,443,true,FRA,Europe,DE,Frankfurt,311,7.38
130.162.169.39,443,443,true,FRA,Europe,DE,Frankfurt,331,7.35
89.168.82.156,443,443,true,FRA,Europe,DE,Frankfurt,248,7.34
79.76.122.129,443,443,true,DUS,Europe,DE,Düsseldorf,211,7.34
141.144.230.223,443,443,true,FRA,Europe,DE,Frankfurt,252,7.34
141.147.73.69,443,443,true,FRA,Europe,DE,Frankfurt,326,7.32
132.145.235.194,443,443,true,CDG,Europe,FR,Paris,264,7.30
141.147.92.191,443,443,true,FRA,Europe,DE,Frankfurt,273,7.29
144.24.182.71,443,443,true,FRA,Europe,DE,Frankfurt,260,7.27
130.162.47.61,443,443,true,FRA,Europe,DE,Frankfurt,264,7.26
130.162.179.222,443,443,true,FRA,Europe,DE,Frankfurt,453,7.25
141.144.207.118,443,443,true,FRA,Europe,DE,Frankfurt,242,7.25
141.147.53.150,443,443,true,CDG,Europe,FR,Paris,234,7.19
138.2.139.162,443,443,true,FRA,Europe,DE,Frankfurt,258,7.18
144.24.174.179,443,443,true,MUC,Europe,DE,Munich,260,7.18
132.145.54.84,2053,443,true,LHR,Europe,GB,London,397,7.12
146.56.162.25,443,443,true,ICN,Asia Pacific,KR,Seoul,180,7.10
130.162.165.84,443,443,true,CDG,Europe,FR,Paris,309,7.06
141.147.85.186,443,443,true,FRA,Europe,DE,Frankfurt,290,7.04
144.24.174.50,443,443,true,FRA,Europe,DE,Frankfurt,259,6.95
130.162.176.48,443,443,true,FRA,Europe,DE,Frankfurt,333,6.94
130.162.170.82,443,443,true,FRA,Europe,DE,Frankfurt,297,6.93
141.147.82.180,443,443,true,FRA,Europe,DE,Frankfurt,308,6.83
89.168.86.9,443,443,true,FRA,Europe,DE,Frankfurt,227,6.83
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,294,6.82
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,269,6.80
141.144.202.70,443,443,true,FRA,Europe,DE,Frankfurt,319,6.79
141.147.113.128,443,443,true,DUS,Europe,DE,Düsseldorf,362,6.79
144.24.80.56,443,443,true,ICN,Asia Pacific,KR,Seoul,91,6.74
141.148.224.181,443,443,true,FRA,Europe,DE,Frankfurt,246,6.74
130.162.250.180,8443,443,true,FRA,Europe,DE,Frankfurt,312,6.71
143.47.230.93,443,443,true,FRA,Europe,DE,Frankfurt,183,6.67
144.24.178.59,443,443,true,FRA,Europe,DE,Frankfurt,362,6.66
141.147.87.82,443,443,true,FRA,Europe,DE,Frankfurt,347,6.61
158.178.145.7,443,443,true,FRA,Europe,DE,Frankfurt,304,6.53
141.147.77.218,443,443,true,FRA,Europe,DE,Frankfurt,231,6.51
141.147.72.61,443,443,true,FRA,Europe,DE,Frankfurt,360,6.45
141.147.58.209,443,443,true,FRA,Europe,DE,Frankfurt,240,6.40
141.147.107.134,443,443,true,CDG,Europe,FR,Paris,223,6.34
141.147.32.245,443,443,true,FRA,Europe,DE,Frankfurt,297,6.33
141.147.64.100,443,443,true,FRA,Europe,DE,Frankfurt,378,6.32
84.235.173.141,443,443,true,CDG,Europe,FR,Paris,339,6.32
141.147.114.156,443,443,true,FRA,Europe,DE,Frankfurt,374,6.29
152.67.129.52,443,443,true,FRA,Europe,DE,Frankfurt,283,6.24
141.147.103.41,443,443,true,FRA,Europe,DE,Frankfurt,288,6.24
140.84.179.114,443,443,true,DFW,North America,US,Dallas,356,6.21
84.8.151.78,443,443,true,FRA,Europe,DE,Frankfurt,272,6.20
141.147.64.220,443,443,true,FRA,Europe,DE,Frankfurt,375,6.16
168.138.162.187,443,443,true,SIN,Asia Pacific,SG,Singapore,52,6.13
144.24.243.207,443,443,true,ZRH,Europe,CH,Zurich,388,6.13
132.145.54.84,8443,443,true,LHR,Europe,GB,London,306,6.01
130.162.165.50,443,443,true,FRA,Europe,DE,Frankfurt,322,6.00
141.147.119.12,443,443,true,CDG,Europe,FR,Paris,312,5.97
158.179.167.73,443,443,true,ICN,Asia Pacific,KR,Seoul,151,5.95
150.230.149.208,443,443,true,FRA,Europe,DE,Frankfurt,283,5.94
143.47.243.144,8443,443,true,LHR,Europe,GB,London,182,5.93
168.138.165.174,443,443,true,SIN,Asia Pacific,SG,Singapore,86,5.88
140.245.88.19,443,443,true,NRT,Asia Pacific,JP,Tokyo,227,5.88
141.147.81.158,443,443,true,FRA,Europe,DE,Frankfurt,356,5.86
158.179.207.182,2053,443,true,ARN,Europe,SE,Stockholm,339,5.82
168.138.212.80,443,443,true,NRT,Asia Pacific,JP,Tokyo,127,5.81
158.180.24.239,443,443,true,FRA,Europe,DE,Frankfurt,245,5.77
155.248.184.2,443,443,true,NRT,Asia Pacific,JP,Tokyo,189,5.77
130.162.250.180,443,443,true,FRA,Europe,DE,Frankfurt,307,5.73
150.230.63.93,443,443,true,KIX,Asia Pacific,JP,Osaka,142,5.72
129.146.220.190,443,443,true,LAX,North America,US,Los Angeles,258,5.72
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,139,5.58
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,127,5.57
150.136.240.243,443,443,true,IAD,North America,US,Ashburn,246,5.57
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,172,5.52
